１６４　　原　　因　　別　　火　　災　　発　　生　　件　　数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間,,
"年　次
月　別",計,たばこ,こんろ,かまど,"風 呂
かまど",炉,焼却炉,ｽﾄｰﾌﾞ,こたつ,ﾎﾞｲﾗｰ,"煙突･
煙道",排気管,"電気
機器","電気
装置","電灯･
電話等の配線","内燃
機関","配線
器具","火
あそび","ﾏｯﾁ･
ﾗｲﾀｰ",たき火,"溶接機
・
切断機",灯火,"衝突の
火花",取灰,火入れ,放火,"放 火
の疑い",その他,"不明･
調査中",,
平成25年, 87 , 3 , 5 , － , － , － , 1 , 8 , － , － , 2 , 2 , 3 , － , 3 , 1 , 2 , － , 1 , 7 , － , 1 , － , 2 , 2 , 4 , 3 , 27 , 10 ,,
26, 76 , 8 , 6 , － , － , 1 , 1 , 6 , － , － , － , 3 , 4 , 1 , 5 , － , 3 , － , － , 2 , 1 , 1 , － , － , － , 8 , 4 , 14 , 8 ,,
27, 74 , 13 , 7 , － , － , － , 1 , 8 , － , － , － , 3 , 1 , 3 , 3 , － , 3 , － , 4 , － , － , 3 , － , 1 , 1 , 3 , 9 , 8 , 4 ,,
28, 66 , 8 , 5 , － , － , － , － , 3 , － , － , 1 , 2 , 5 , 1 , 5 , － , － , 1 , － , 2 , 1 , 2 , － , 1 , － , 4 , 2 , 18 , 5 ,,
29, 62 , 4 , 5 , － , 1 , － , － , 8 , － , － , 1 , 1 , 1 , 1 , 4 , － , － , － , 2 , 2 , － , － , 1 , － , － , 3 , 3 , 18 , 7 ,,
30, 60 , 7 , 1 , － , － , － , － , 6 , － , － , － , 1 , － , 1 , 6 , － , 2 , － , － , 3 , 1 , 1 , － , － , － , 2 , － , 19 , 10 ,,
令和元年, 74 , 3 , 8 , － , － , 1 , － , 9 , － , － , 2 , 2 , 2 , 3 , 2 , － , － , － , － , 1 , － , 5 , － , － , 3 , 3 , 3 , 22 , 5 ,,
２, 73 , 5 , 4 , － , － , － , 1 , 7 , － , 1 , 1 , 1 , 3 , 1 , 3 , － , 3 , 3 , － , － , 1 , － , 1 , － , 4 , － , 3 , 17 , 14 ,,
３, 55 , 2 , 7 , － , － , 1 , － , 2 , － , － , － , 1 , 5 , 1 , 3 , － , 4 , － , 1 , 1 , 1 , 2 , － , － , － , 1 , 2 , 17 , 4 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３年１月, 2 ,,,,,,, 1 ,,,,, 1 ,,,,,,,,,,,,,,,,,,
２, 5 ,, 1 ,,,,,,,,,, 1 ,,,, 2 ,,,,,,,,, 1 ,,,,,
３, 4 ,, 1 ,,,,,,,,,, 1 ,,,,,,,,,,,,,, 1 ,, 1 ,,
４, 6 ,, 1 ,,,,,,,,,,,, 1 ,, 1 ,,,,,,,,,,, 1 , 2 ,,
５, 10 , 1 , 1 ,,,,,,,,, 1 , 1 ,,,, 1 ,, 1 ,, 1 ,,,,,, 1 , 2 ,,,
６, 3 ,, 1 ,,,,,,,,,,,, 1 ,,,,,,,,,,,,, 1 ,,,
７, 6 ,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,, 5 ,,,
８, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 3 ,,,
９, 3 , 1 ,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,,,
10, 3 ,, 1 ,,,,,,,,,, 1 ,,,,,,,,, 1 ,,,,,,,,,
11, 4 ,,,,,,,,,,,,, 1 ,,,,,, 1 ,,,,,,,, 2 ,,,
12, 6 ,, 1 ,,,,, 1 ,,,,,,, 1 ,,,,,,, 1 ,,,,,, 1 , 1 ,,
資料　秋田市消防本部予防課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
