１６６　消　防　団　の　状　況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,各年４月１日現在
年次,"消防
団数","消防
分団数",年齢別団員数,,,,,,,消防ポンプ自動車等保有台数,,,
,,,総数,"20歳
未満","20～29
歳","30～39
歳","40～49
歳","50～59
歳","60歳
以上",総数,ポンプ車,積載車,"小型動力
ポンプ"
平成24年,1 ,32 ,"1,926 ", 1 ,124 ,411 ,545 ,655 ,190 ,186 ,10 ,100 ,76 
25,1 ,32 ,"1,909 ", 4 ,125 ,405 ,542 ,637 ,196 ,176 ,10 ,99 ,67 
26,1 ,32 ,"1,918 ", － ,110 ,403 ,550 ,622 ,233 ,175 ,10 ,99 ,66 
27,1 ,32 ,"1,915 ", 3 ,103 ,387 ,541 ,611 ,270 ,174 ,10 ,99 ,65 
28,1 ,32 ,"1,912 ",2 ,100 ,362 ,567 ,587 ,294 ,174 ,10 ,99 ,65 
29,1 ,32 ,"1,891 ", 8 ,92 ,327 ,592 ,552 ,320 ,174 ,10 ,100 ,64 
30,1 ,32 ,"1,861 ", 2 ,84 ,310 ,599 ,542 ,324 ,169 ,10 ,100 ,59 
31,1 ,32 ,"1,810 ", 3 ,86 ,274 ,594 ,502 ,351 ,169 ,9 ,101 ,59 
令和２年,1 ,32 ,"1,746 ",2 ,76 ,253 ,587 ,479 ,349 ,169 ,8 ,102 ,59 
３,1 ,32 ,"1,665 ",7 ,68 ,234 ,542 ,464 ,350 ,165 ,8 ,102 ,55 
資料　秋田市消防本部総務課・警防課,,,,,,,,,,,,,
