１６２　市　民　所　得　の　分　配,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,各年度間,,,,,,,,,
区分,市民所得の分配（百万円）,,,,,対 前 年 度 比 （％）,,,,構　　成　　比　（％）,,,,,,,,,,,,,
,平成２７年度,２８,２９,３０,令和元年度,２８,２９,３０,令和元年度,２７,２８,２９,３０,令和元年度,,,,,,,,,
 合計（１+２+３）,"936,445","945,322","980,111","959,743","971,772",0.9,3.7,△ 2.1,1.3,100.0,100.0,100.0,100.0,100.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 １　雇用者報酬,"606,907","612,343","623,119","627,606","629,631",0.9,1.8,0.7,0.3,64.8,64.8,63.6,65.4,64.8,,,,,,,,,
賃　金・俸　給,"507,757","512,292","521,149","525,954","526,894",0.9,1.7,0.9,0.2,54.2,54.2,53.2,54.8,54.2,,,,,,,,,
雇主の社会負担,"99,150","100,051","101,970","101,652","102,737",0.9,1.9,△ 0.3,1.1,10.6,10.6,10.4,10.6,10.6,,,,,,,,,
 ２　財産所得（非企業部門）,"58,529","57,909","58,086","58,888","57,194",△ 1.1,0.3,1.4,△ 2.9,6.3,6.1,5.9,6.1,5.9,,,,,,,,,
一般政府,"△ 1,031",△ 866,△ 682,△ 365,△ 292,16.0,21.2,46.5,20.0,△ 0.1,△ 0.1,△ 0.1,△ 0.0,△ 0.0,,,,,,,,,
家計,"58,459","57,624","57,455","57,826","56,131",△ 1.4,△ 0.3,0.6,△ 2.9,6.2,6.1,5.9,6.0,5.8,,,,,,,,,
対家計民間非営利団体,"1,101","1,151","1,313","1,427","1,355",4.5,14.1,8.7,△ 5.0,0.1,0.1,0.1,0.1,0.1,,,,,,,,,
 ３　企業所得（分配所得受払後）,"271,009","275,070","298,906","273,249","284,947",1.5,8.7,△ 8.6,4.3,28.9,29.1,30.5,28.5,29.3,,,,,,,,,
民間法人企業,"184,828","192,139","216,898","196,496","209,435",4.0,12.9,△ 9.4,6.6,19.7,20.3,22.1,20.5,21.6,,,,,,,,,
公的企業,"5,909","5,730","5,214","5,268","4,560",△ 3.0,△ 9.0,1.0,△ 13.4,0.6,0.6,0.5,0.5,0.5,,,,,,,,,
個人企業,"80,272","77,201","76,795","71,485","70,952",△ 3.8,△ 0.5,△ 6.9,△ 0.7,8.6,8.2,7.8,7.4,7.3,,,,,,,,,
農　 林 　水 　産　 業,780,"1,166","1,444",997,"1,057",49.5,23.8,△ 31.0,6.0,0.1,0.1,0.1,0.1,0.1,,,,,,,,,
そ  の  他  の  産  業,"21,421","17,986","17,924","13,431","13,050",△ 16.0,△ 0.3,△ 25.1,△ 2.8,2.3,1.9,1.8,1.4,1.3,,,,,,,,,
持　　　　ち　　　　家,"58,071","58,049","57,427","57,057","56,845",△ 0.0,△ 1.1,△ 0.6,△ 0.4,6.2,6.1,5.9,5.9,5.8,,,,,,,,,
資料　秋田県調査統計課「秋田県市町村民経済計算」,,,,,,,,,,,,,,,,,,,,,,,
注）１　基礎数値の遡及改訂等により、平成27～30年度は、過去の公表数値と異なっている。,,,,,,,,,,,,,,,,,,,,,,,
　　２　端数処理の関係から、合計と内訳の計が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,
