１６０　市　民　経　済　計　算　総　括　表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,各年度間,,,,
区分,,,実　　　　　　　　　　数,,,,,対前年度増加率（％）,,,,,,,
,,,平成２７年度,２８,２９,３０,令和元年度,２８,２９,３０,令和元年度,,,,
所　　得　　総　　額,"秋 田 市
(百万円)",市内総生産,"1,283,584 ","1,279,183 ","1,316,837 ","1,308,183 ","1,310,777 ",△ 0.3,2.9,△ 0.7,0.2,,,,
,,市民所得の分配,"936,445 ","945,322 ","980,111 ","959,743 ","971,772 ",0.9,3.7,△ 2.1,1.3,,,,
,"秋 田 県
（百万円）","県内総生産
（名目)","3,453,667 ","3,500,573 ","3,650,133 ","3,566,302 ","3,624,750 ",1.4,4.3,△ 2.3,1.6,,,,
,,"県内総生産
（実質)","3,462,419 ","3,481,858 ","3,619,265 ","3,538,762 ","3,589,226 ",0.6,3.9,△ 2.2,1.4,,,,
,,県民所得の分配,"2,522,748 ","2,561,961 ","2,674,429 ","2,603,012 ","2,637,599 ",1.6,4.4,△ 2.7,1.3,,,,
,"全　　国
（億円）","国内総生産
(名目)","5,407,394 ","5,448,272 ","5,556,874 ","5,568,279 ","5,596,988 ",0.8,2.0,0.2,0.5,,,,
,,"国内総生産
(実質)","5,394,093 ","5,434,625 ","5,531,443 ","5,547,878 ","5,529,305 ",0.8,1.8,0.3,△ 0.3,,,,
,,国民所得の分配,"3,926,293 ","3,922,939 ","4,006,881 ","4,022,290 ","4,012,870 ",△ 0.1,2.1,0.4,△ 0.2,,,,
人　　口,　　　　秋　　田　　市　（人）,,"315,814 ","313,668 ","311,178 ","308,482 ","306,178 ",△ 0.7,△ 0.8,△ 0.9,△ 0.7,,,,
,　　　　秋　　田　　県　（人）,,"1,023,119 ","1,011,306 ","998,611 ","985,366 ","972,164 ",△ 1.2,△ 1.3,△ 1.3,△ 1.3,,,,
,　　　　全　　　　　国 （千人）,,"127,075 ","126,908 ","126,690 ","126,427 ","126,144 ",△ 0.1,△ 0.2,△ 0.2,△ 0.2,,,,
"人口一人
当たり所得","秋 田 市
(千円)",市民所得の分配,"2,965 ","3,014 ","3,150 ","3,111 ","3,174 ",1.6,4.5,△ 1.2,2.0,,,,
,"秋 田 県
(千円)",県民所得の分配,"2,466 ","2,533 ","2,678 ","2,642 ","2,713 ",2.7,5.7,△ 1.4,2.7,,,,
,"全　　国
(千円)",国民所得の分配,"3,090 ","3,091 ","3,163 ","3,182 ","3,181 ",0.0,2.3,0.6,△ 0.0,,,,
"一人当たり所得
対全国比","秋 田 市
（％）",市民所得の分配,96.0 ,97.5 ,99.6 ,97.8 ,99.8 ,1.6,2.1,△ 1.8,2.0,,,,
,"秋 田 県
（％）",県民所得の分配,79.8 ,82.0 ,84.7 ,83.0 ,85.3 ,2.7,3.3,△ 2.0,2.7,,,,
,,,,,,,,,,,,,,,
注)１, 基礎数値の遡及改訂等により、平成27～30年度は、過去の公表数値と異なっている。,,,,,,,,,,,,,,
　 ２, 県・市の総生産・分配は秋田県調査統計課「秋田県県民経済計算」・「秋田県市町村民経済計算」の数値による。,,,,,,,,,,,,,,
　 ３," 秋田県の人口は、総務省統計局「人口推計」（各年10月１日現在）および「国勢調査」、秋田市の人口は「秋田市年齢別・地区別人口」
 （各年10月１日現在）および「国勢調査」による。",,,,,,,,,,,,,,
　 ４, 全国の総生産・分配は内閣府経済社会総合研究所「国民経済計算年次推計」の数値による。,,,,,,,,,,,,,,
　 ５, 全国の人口は内閣府経済社会総合研究所「国民経済計算年次推計」の資料数値による。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
