１６１　経　済　活　動　別　市　内　総　生　産,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,各年度間,,,,,,,,,
区分,実　　　　　　額  （百万円）,,,,,対 前 年 度 比 （％）,,,,構　　成　　比（％）,,,,,,,,,,,,,
,平成２７年度,２８,２９,３０,令和元年度,２８,２９,３０,令和元年度,２７,２８,２９,３０,令和元年度,,,,,,,,,
 合　　　　　　　　　　　計,"1,283,584","1,279,183","1,316,837","1,308,183","1,310,777",△ 0.3,2.9,△ 0.7,0.2,99.7,99.6,99.5,99.6,99.5,,,,,,,,,
小　　計　 （　※ 加 減 前　）,"1,288,006","1,283,937","1,323,729","1,313,945","1,316,793",△ 0.3,3.1,△ 0.7,0.2,100.0,100.0,100.0,100.0,100.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 第　　１　　次　　産　　業,"5,675","6,427","6,706","6,518","6,799",13.3,4.3,△ 2.8,4.3,0.4,0.5,0.5,0.5,0.5,,,,,,,,,
農業,"4,820","5,600","5,896","5,679","5,982",16.2,5.3,△ 3.7,5.3,0.4,0.4,0.4,0.4,0.5,,,,,,,,,
林業,799,775,761,792,776,△ 3.0,△ 1.8,4.1,△ 2.0,0.1,0.1,0.1,0.1,0.1,,,,,,,,,
水産業,56,52,49,47,41,△ 7.1,△ 5.8,△ 4.1,△ 12.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
 第　　２　　次　　産　　業,"188,772","175,942","199,974","192,574","194,436",△ 6.8,13.7,△ 3.7,1.0,14.7,13.7,15.1,14.7,14.8,,,,,,,,,
鉱業,"3,465","3,018","3,264","3,232","3,267",△ 12.9,8.2,△ 1.0,1.1,0.3,0.2,0.2,0.2,0.2,,,,,,,,,
製造業,"126,468","116,319","126,435","120,938","121,547",△ 8.0,8.7,△ 4.3,0.5,9.8,9.1,9.6,9.2,9.2,,,,,,,,,
建設業,"58,839","56,605","70,275","68,404","69,622",△ 3.8,24.1,△ 2.7,1.8,4.6,4.4,5.3,5.2,5.3,,,,,,,,,
 第　　３　　次　　産　　業,"1,093,559","1,101,568","1,117,049","1,114,853","1,115,558",0.7,1.4,△ 0.2,0.1,84.9,85.8,84.4,84.8,84.7,,,,,,,,,
"電気・ガス・水道・　　　　
廃棄物処理業","65,462","70,629","69,029","65,719","65,827",7.9,△ 2.3,△ 4.8,0.2,5.1,5.5,5.2,5.0,5.0,,,,,,,,,
卸売・小売業,"185,319","183,442","189,270","188,225","187,743",△ 1.0,3.2,△ 0.6,△ 0.3,14.4,14.3,14.3,14.3,14.3,,,,,,,,,
運輸・郵便業,"68,174","66,600","68,208","65,683","66,160",△ 2.3,2.4,△ 3.7,0.7,5.3,5.2,5.2,5.0,5.0,,,,,,,,,
宿泊・飲食サービス業,"34,490","38,124","39,563","39,316","36,584",10.5,3.8,△ 0.6,△ 6.9,2.7,3.0,3.0,3.0,2.8,,,,,,,,,
情報通信業,"39,833","40,904","40,387","39,951","38,027",2.7,△ 1.3,△ 1.1,△ 4.8,3.1,3.2,3.1,3.0,2.9,,,,,,,,,
金融・保険業,"54,039","51,836","50,973","52,366","53,692",△ 4.1,△ 1.7,2.7,2.5,4.2,4.0,3.9,4.0,4.1,,,,,,,,,
不動産業,"164,357","165,690","168,191","168,732","170,215",0.8,1.5,0.3,0.9,12.8,12.9,12.7,12.8,12.9,,,,,,,,,
専門・科学技術、業務支援サービス業,"126,792","132,111","134,316","137,909","138,992",4.2,1.7,2.7,0.8,9.8,10.3,10.1,10.5,10.6,,,,,,,,,
公務,"91,532","90,084","92,739","92,689","92,886",△ 1.6,2.9,△ 0.1,0.2,7.1,7.0,7.0,7.1,7.1,,,,,,,,,
教育,"57,168","57,346","58,551","58,664","58,869",0.3,2.1,0.2,0.3,4.4,4.5,4.4,4.5,4.5,,,,,,,,,
保健衛生・社会事業,"142,483","141,696","141,138","140,625","142,599",△ 0.6,△ 0.4,△ 0.4,1.4,11.1,11.0,10.7,10.7,10.8,,,,,,,,,
その他のサービス,"63,910","63,106","64,684","64,974","63,964",△ 1.3,2.5,0.4,△ 1.6,5.0,4.9,4.9,4.9,4.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
(※)輸入品に課される税・関税等,"△ 4,422","△ 4,754","△ 6,892","△ 5,762","△ 6,016",△ 7.5,△ 45.0,16.4,△ 4.4,△ 0.3,△ 0.4,△ 0.5,△ 0.4,△ 0.5,,,,,,,,,
資料 秋田県調査統計課「秋田県市町村民経済計算」,,,,,,,,,,,,,,,,,,,,,,,
注）１　基礎数値の遡及改訂等により、平成27～30年度は、過去の公表数値と異なっている。,,,,,,,,,,,,,,,,,,,,,,,
　　２　端数処理の関係から、合計と内訳の計が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
