１９０　選挙人名簿登録者数の推移,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,各年９月２日現在　単位：人、％,,,,,,,,,
年次,総数,,男,,女,,,,,,,,,,
,実数,対前年比,実数,対前年比,実数,対前年比,,,,,,,,,
平成24年,"267,122 ",99.88 ,"123,844 ",99.79 ,"143,278 ",99.95 ,,,,,,,,,
25,"266,491 ",99.76 ,"123,504 ",99.73 ,"142,987 ",99.80 ,,,,,,,,,
26,"265,878 ",99.77 ,"123,325 ",99.86 ,"142,553 ",99.70 ,,,,,,,,,
27,"264,898 ",99.63 ,"122,883 ",99.64 ,"142,015 ",99.62 ,,,,,,,,,
28,"269,768 ",101.84 ,"125,546 ",102.17 ,"144,222 ",101.55 ,,,,,,,,,
29,"268,255 ",99.44 ,"124,835 ",99.43 ,"143,420 ",99.44 ,,,,,,,,,
30,"266,470 ",99.33 ,"123,994 ",99.33 ,"142,476 ",99.34 ,,,,,,,,,
令和元年,"264,905 ",99.41 ,"123,234 ",99.39 ,"141,671 ",99.43 ,,,,,,,,,
２,"263,462 ",99.46 ,"122,605 ",99.49 ,"140,857 ",99.43 ,,,,,,,,,
３,"262,342 ",99.57 ,"122,020 ",99.52 ,"140,322 ",99.62 ,,,,,,,,,
資料　秋田市選挙管理委員会事務局,,,,,,,,,,,,,,,
※平成29年度から９月１日現在の選挙人名簿登録者数とする。（法改正による）,,,,,,,,,,,,,,,
