７３　酒　類　の　消　費　数　量,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,各年度間　単位：kl
年度,清酒,"ウイスキー類
(ウイスキー・
ブランデー）",合成清酒,焼酎,ビール,発泡酒,みりん,果実酒類,その他,合計
,,,,,,,,,,
平成23年,647 ,64 ,37 ,471 ,"1,802 ",400 ,41 ,124 ,"1,456 ","5,042 "
24,714 ,73 ,42 ,552 ,"1,970 ",440 ,46 ,162 ,"2,047 ","6,046 "
25,719 ,78 ,41 ,535 ,"1,835 ",385 ,43 ,169 ,"1,925 ","5,730 "
26,764 ,89 ,38 ,568 ,"1,853 ",478 ,35 ,184 ,"2,296 ","6,305 "
27,652 ,81 ,33 ,443 ,"1,560 ",345 ,46 ,156 ,"1,681 ","4,997 "
28,477 ,55 ,19 ,214 ,"1,210 ",141 ,31 ,104 ,900 ,"3,151 "
29,416 ,43 ,14 ,141 ,"1,006 ",79 ,29 ,67 ,448 ,"2,243 "
30,478 ,62 ,16 ,226 ,"1,023 ",105 ,26 ,97 ,"1,697 ","3,730 "
令和元年,482 ,72 ,17 ,280 ,"1,002 ",138 ,23 ,113 ,"1,382 ","3,509 "
２,391 ,81 ,17 ,312 ,766 ,236 ,25 ,136 ,"1,994 ","3,958 "
資料　秋田南小売酒販組合、秋田北小売酒販組合（平成23年度まで）,,,,,,,,,,
　注）１　「果実酒類」は、甘味果実酒を含む。「その他」は、スピリッツ・リキュール類・雑酒を含む。,,,,,,,,,,
　　　２　数値は各組合員の販売数量である。,,,,,,,,,,
,,,,,,,,,,
