７０　産業分類別商店数、従業者数、年間商品販売額（Ⅰ）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,平成２８年６月１日現在,,,
産業分類,,商店数,従業者数,"年間商品
販売額",売場面積,１商店当たり,,,,
,,,,,,従業者数,年間商品販売額,,,
,,,,（百万円）,（㎡）,（人）,（百万円）,,,
50～61合計,,"3,348 ","27,781 ","1,147,819 ","422,713 ",8 ,343 ,,,
50～55卸売業計,,"1,042 ","8,810 ","758,531 ",-,8 ,728 ,,,
50,各種商品卸売業,11 ,165 ,"13,327 ",-,15 ,"1,212 ",,,
51,繊維・衣服等卸売業,28 ,135 ,"3,735 ",-,5 ,133 ,,,
511,"繊維品卸売業
（衣服，身の回り品を除く）",1 ,3 ,x,-,3 ,x,,,
512,衣服卸売業,16 ,86 ,"2,219 ",-,5 ,139 ,,,
513,身の回り品卸売業,11 ,46 ,x,-,4 ,x,,,
52,飲食料品卸売業,211 ,"2,368 ","261,160 ",-,11 ,"1,238 ",,,
521,農畜産物・水産物卸売業,86 ,"1,184 ","146,038 ",-,14 ,"1,698 ",,,
522,食料・飲料卸売業,125 ,"1,184 ","115,122 ",-,9 ,921 ,,,
53,建築材料、鉱物、金属材料等卸売業,220 ,"1,577 ","153,256 ",-,7 ,697 ,,,
531,建築材料卸売業,117 ,839 ,"81,781 ",-,7 ,699 ,,,
532,化学製品卸売業,40 ,208 ,"16,438 ",-,5 ,411 ,,,
533,石油・鉱物卸売業,23 ,206 ,"34,851 ",-,9 ,"1,515 ",,,
534,鉄鋼製品卸売業,13 ,81 ,"13,386 ",-,6 ,"1,030 ",,,
535,非鉄金属卸売業,3 ,36 ,"1,071 ",-,12 ,357 ,,,
536,再生資源卸売業,24 ,207 ,"5,729 ",-,9 ,239 ,,,
54,機械器具卸売業,333 ,"2,445 ","163,945 ",-,7 ,492 ,,,
541,産業機械器具卸売業,139 ,"1,013 ","62,732 ",-,7 ,451 ,,,
542,自動車卸売業,56 ,498 ,"28,227 ",-,9 ,504 ,,,
543,電気機械器具卸売業,84 ,551 ,"45,739 ",-,7 ,545 ,,,
549,その他の機械器具卸売業,54 ,383 ,"27,247 ",-,7 ,505 ,,,
55,その他の卸売業,239 ,"2,120 ","163,109 ",-,9 ,682 ,,,
551,家具・建具・じゅう器等卸売業,30 ,249 ,"11,157 ",-,8 ,372 ,,,
552,医薬品・化粧品等卸売業,93 ,"1,078 ","112,164 ",-,12 ,"1,206 ",,,
553,紙・紙製品卸売業,20 ,112 ,"4,049 ",-,6 ,202 ,,,
559,他に分類されない卸売業,96 ,681 ,"35,740 ",-,7 ,372 ,,,
資料　総務省統計局「平成２８年経済センサス-活動調査」,,,,,,,,,,
 注）,必要な事項の数値が得られた事業所（企業等）を対象として集計しているため、「69商業の推移」の,,,,,,,,,
,商店数および従業者数とは一致しない。,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
