１５０　身体障害者手帳の交付状況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,各年度末現在　単位：人,,,,,,,
年度・級種,総数,,,０～17歳,18～59歳,60歳以上,,,,,,,
,総数,男,女,,,,,,,,,,
平成23年度,"13,984 ","6,398 ","7,586 ",227 ,"2,394 ","11,363 ",,,,,,,
24,"14,258 ","6,573 ","7,685 ",227 ,"2,337 ","11,694 ",,,,,,,
25,"14,196 ","6,528 ","7,668 ",225 ,"2,358 ","11,613 ",,,,,,,
26,"14,250 ","6,429 ","7,821 ",216 ,"2,424 ","11,610 ",,,,,,,
27,"13,946 ","6,300 ","7,646 ",221 ,"2,208 ","11,517 ",,,,,,,
28,"13,782 ","6,222 ","7,560 ",220 ,"2,185 ","11,377 ",,,,,,,
29,"13,678 ","6,155 ","7,523 ",212 ,"2,122 ","11,344 ",,,,,,,
30,"13,741 ","6,209 ","7,532 ",202 ,"2,107 ","11,432 ",,,,,,,
令和元年度,"13,729 ","6,239 ","7,490 ",196 ,"2,076 ","11,457 ",,,,,,,
２,"13,716 ","6,266 ","7,450 ",202 ,"2,064 ","11,450 ",,,,,,,
,,,,,,,,,,,,,
肢体不自由,,,,,,,,,,,,,
  １級,"1,292 ",622 ,670 ,31 ,302 ,959 ,,,,,,,
２,"1,504 ",768 ,736 ,63 ,279 ,"1,162 ",,,,,,,
３,"1,568 ",497 ,"1,071 ",6 ,188 ,"1,374 ",,,,,,,
４,"1,753 ",477 ,"1,276 ",4 ,153 ,"1,596 ",,,,,,,
５,683 ,292 ,391 ,－ ,141 ,542 ,,,,,,,
６,348 ,173 ,175 ,7 ,76 ,265 ,,,,,,,
,,,,,,,,,,,,,
視覚障害　,,,,,,,,,,,,,
  １級,276 ,133 ,143 ,3 ,51 ,222 ,,,,,,,
２,232 ,116 ,116 ,2 ,44 ,186 ,,,,,,,
３,64 ,24 ,40 ,1 ,9 ,54 ,,,,,,,
４,56 ,21 ,35 ,1 ,9 ,46 ,,,,,,,
５,109 ,68 ,41 ,2 ,27 ,80 ,,,,,,,
６,54 ,21 ,33 ,1 ,7 ,46 ,,,,,,,
,,,,,,,,,,,,,
聴覚・平衡機能障害,,,,,,,,,,,,,
  １級,80 ,40 ,40 ,－ ,24 ,56 ,,,,,,,
２,222 ,105 ,117 ,11 ,68 ,143 ,,,,,,,
３,132 ,46 ,86 ,5 ,21 ,106 ,,,,,,,
４,308 ,113 ,195 ,－ ,29 ,279 ,,,,,,,
５,10 ,4 ,6 ,－ ,3 ,7 ,,,,,,,
６,406 ,156 ,250 ,7 ,26 ,373 ,,,,,,,
,,,,,,,,,,,,,
音声言語そしゃく機能障害,,,,,,,,,,,,,
  １級,3 ,2 ,1 ,－ ,2 ,1 ,,,,,,,
２,7 ,5 ,2 ,－ ,2 ,5 ,,,,,,,
３,115 ,84 ,31 ,1 ,12 ,102 ,,,,,,,
４,77 ,50 ,27 ,－ ,19 ,58 ,,,,,,,
５,－ ,－ ,－ ,－ ,－ ,－ ,,,,,,,
６,－ ,－ ,－ ,－ ,－ ,－ ,,,,,,,
,,,,,,,,,,,,,
内部障害,,,,,,,,,,,,,
  １級,"2,813 ","1,505 ","1,308 ",30 ,375 ,"2,408 ",,,,,,,
２,54 ,27 ,27 ,1 ,11 ,42 ,,,,,,,
３,780 ,459 ,321 ,10 ,97 ,673 ,,,,,,,
４,770 ,458 ,312 ,16 ,89 ,665 ,,,,,,,
５,－ ,－ ,－ ,－ ,－ ,－ ,,,,,,,
６,－ ,－ ,－ ,－ ,－ ,－ ,,,,,,,
資料　秋田市障がい福祉課,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
