　投票所一覧,,,
,,,
投票区,投票所名,投票所住所,
1,秋田市八橋地区コミュニティセンター,八橋本町五丁目２番２７号,
2,秋田市立保戸野小学校,保戸野すわ町９番６０号,
3,秋田県立秋田北高等学校,千秋中島町８番１号,
4,秋田市立八橋小学校,八橋大沼町７番１号,
5,秋田市旭北地区コミュニティセンター,大町四丁目４番１５号,
6,秋田市立旭南小学校,旭南一丁目１５番１号,
7,秋田市立川尻小学校,川尻みよし町８番３１号,
8,秋田卸センター別館,卸町三丁目６番３号,
9,秋田市南部市民サービスセンター別館,牛島東六丁目４番５号,
11,秋田市立秋田南中学校,南通宮田１５番１号,
12,秋田市楢山地区コミュニティセンター,楢山南中町１番９号,
13,秋田市立東小学校,東通二丁目１１番１号,
14,秋田市立中通小学校,中通五丁目８番２２号,
16,秋田市立秋田東中学校,手形休下町１０番５１号,
17,秋田市立広面小学校,広面字蟹沢２９番地,
18,秋田市立旭川小学校,手形字才ノ浜６３番地,
19,泉公民館,泉三嶽根１番６号,
20,添川地域交流センター,添川字添川１０３番地,
21,杉の木園,山内字上台１５番地２,
22,太平八田公民館,太平八田字八田２２５番地５,
23,秋田市太平地区コミュニティセンター,太平目長崎字沼田４２番地,
24,秋田市立太平中学校,太平中関字平形４６番地,
25,太平舘越町内会館,太平黒沢字砂子沢２番地１,
26,（旧）秋田市立山谷小学校,太平山谷字中山谷１４３番地,
27,こまどり幼稚園,横森五丁目１番２９号,
28,秋田市下北手地区コミュニティセンター,下北手柳館字前田面１３３番地１,
29,下北手宝川公民館,下北手宝川字堂ケ下１０５番地,
30,秋田市上北手地区コミュニティセンター,上北手猿田字四ツ小屋２９番地１,
31,上北手大戸公民館,上北手大戸字大戸５５番地,
32,上北手古野公民館,上北手古野字脇ノ田４０番地,
33,秋田市園芸振興センター,仁井田字小中島１１１番地１,
34,秋田市立仁井田小学校,仁井田本町四丁目７番１号,
36,四ツ小屋幼稚園,四ツ小屋字城下当場２番地４,
37,勝平保育園,新屋松美ガ丘南町１６番１３号,
38,秋田県立栗田支援学校,新屋栗田町１０番１０号,
39,秋田市立秋田西中学校,新屋大川町１９番７５号,
40,秋田市西部市民サービスセンター,新屋扇町１３番３４号,
41,浜田内浜田会館,浜田字館ノ丸４３番地８,
42,秋田市浜田地区コミュニティセンター,浜田字自在山８８番地６,
43,豊岩石田坂公民館,豊岩石田坂字碇１１番地１,
44,秋田市豊岩地区コミュニティセンター,豊岩豊巻字内縄尻２２４番地１,
45,豊岩小山公民館,豊岩小山字神田４番地１,
46,下浜桂根公民館,下浜桂根字境川１７３番地,
47,下浜長浜公民館,下浜長浜字荒郷屋７０番地,
48,下浜羽川公民館,下浜羽川字二十町７９番地,
49,下浜名ケ沢公民館,下浜名ケ沢字浦田１２３番地,
50,（旧）秋田市立八田小学校,下浜八田字餅田４２番地,
51,秋田市北部市民サービスセンター,土崎港西五丁目３番１号,
52,秋田市立土崎小学校,土崎港中央三丁目１番７８号,
53,秋田市立港北小学校,土崎港北四丁目６番１号,
54,秋田市立土崎中学校,土崎港北一丁目３番１号,
55,秋田市立土崎南小学校,土崎港東一丁目６番３９号,
56,秋田市立将軍野中学校,将軍野南一丁目１２番１号,
57,秋田市寺内児童センター,寺内堂ノ沢二丁目１０番１７号,
58,秋田市立外旭川小学校,外旭川字梶ノ目２６２番地２,
59,秋田市将軍野地区コミュニティセンター,将軍野南四丁目８番８号,
60,秋田市営住宅四ツ谷団地第一集会所,将軍野堰越８番,
61,笹岡公民館,外旭川字家ノ前５７５番地,
62,秋田市飯島地区コミュニティセンター,飯島松根東町５番２２号,
63,秋田市立飯島小学校,飯島鼠田二丁目２番１号,
64,秋田市下新城交流センター,下新城中野字前谷地２６３番地,
65,秋田市下新城地区コミュニティセンター,下新城笠岡字堰場１９３番地４,
66,下新城堰根公民館,下新城岩城字後田１６番地,
67,秋田市上新城地区コミュニティセンター,上新城五十丁字小林８８番地５,
68,上新城道川公民館,上新城道川字宮ノ下６９番地,
69,上新城小又公民館,上新城小又字落合７番地,
70,秋田県立金足農業高等学校,金足追分字海老穴１０２番地４,
71,秋田市立金足西小学校,金足大清水字大清水台１番地,
72,金足地区集会所,金足高岡字古館４１番地,
73,（旧）金足東児童室,金足片田字待入１１１番地,
74,秋田市東部市民サービスセンター,広面字釣瓶町１３番地３,
75,秋田市立泉中学校,泉北二丁目６番１号,
76,秋田市勝平地区コミュニティセンター,新屋松美ガ丘東町１０番１０号,
77,秋田市南浜地域活動支援センター,新屋南浜町７番１０号,
78,秋田市役所,山王一丁目１番１号,
79,秋田市大住児童館,仁井田字西潟敷３３番地,
80,秋田市南部市民サービスセンター,御野場一丁目5番1号,
81,金足岩瀬公民館,金足岩瀬字前山１８番地２,
82,金足黒川公民館,金足黒川字黒川２４３番地,
83,秋田市立城東中学校,広面字鍋沼１７番地,
84,秋田市立桜小学校,桜四丁目１２番１号,
85,秋田市外旭川地区コミュニティセンター,外旭川字四百刈７６番地,
86,秋田市立御所野小学校,御所野元町五丁目１番１号,
87,秋田市立飯島南小学校,飯島西袋一丁目１番２号,
88,秋田市立御野場中学校,仁井田字中新田２２３番地,
89,ウェルビュ－いずみ,泉菅野二丁目１７番２７号,
90,鵜養公民館,河辺岩見字鵜養５０番地２,
91,新川公民館,河辺岩見字新川上田面１０番地１,
92,秋田市岩見三内連絡所,河辺三内字外川原３４番地１,
93,砂子渕公民館,河辺三内字高畑内,
94,萱森生活改善センター,河辺岩見字萱森３９番地２,
95,田尻町内会館,河辺三内字田尻下野田４９番地１,
96,赤平ふれあい館,河辺赤平字小蟹沢１４番地６,
97,神内公民館,河辺神内字鶴巻２１番地２,
98,下諸井児童館,河辺諸井字下諸井４７７番地１,
99,三町内会公民館,河辺和田字坂本北２７９番地,
100,式田公民館,河辺和田字式田１０７番地３,
101,秋田市河辺総合福祉交流センター,河辺北野田高屋字上前田表６６番地１,
102,黒沼多目的共同利用施設,河辺北野田高屋字神田３０２番地,
103,戸島ふるさとセンター,河辺戸島字本町９２番地,
104,畑谷公民館,河辺畑谷字中村７４番地１,
105,秋田市大正寺連絡所,雄和新波字樋口６２番地２,
106,神ケ村自治会館,雄和神ケ村字大橋２４８番地,
107,萱ケ沢自治会館,雄和萱ケ沢字萱ケ沢９２番地,
108,中ノ沢自治会館,雄和萱ケ沢字土橋４５番地３,
109,秋田市雄和左手子交流センター,雄和左手子字清水下４３番地３,
110,種沢自治会館,雄和種沢字山王堂４０番地３,
111,平尾鳥会館,雄和平尾鳥字田向１５８番地１,
112,女米木自治会館,雄和女米木字猫沢１９５番地,
113,戸賀沢自治会館,雄和戸賀沢字御江田１８１番地,
114,相川コミュニティセンター,雄和相川字銅屋１１１番地１,
115,高野生活改善センター,雄和相川字高野１２４番地内,
116,秋田市雄和市民サービスセンター,雄和妙法字上大部４８番地１,
117,長者やま荘,雄和椿川字長者屋敷３８番地１,
118,安養寺児童館,雄和椿川字関田６９番地,
119,本田自治会館,雄和田草川字太田３４番地１,
120,芝野自治会館,雄和芝野新田字中台１１０番地２,
121,下黒瀬自治会館,雄和下黒瀬字町屋敷９０番地１,
※第１０、１５、３５投票区は欠番です。,,,
