１６８　交　通　事　故　の　発　生　状　況,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,各年間,,,
年次,総数,"一時
不停止","安全運転
義務違反",徐行違反,酒酔,"歩行者
妨害",信号無視,"右左折
方法違反","追越
不適当",その他,１日平均事故発生件数,,,,,
,,,,,,,,,,,全国,秋田県,秋田市,,,
平成23年,"1,135 ",32 ,952 ,3 ,4 ,42 ,38 ,－ ,－ ,64 ,"1,895.7 ",8.2 ,3.1 ,,,
24,"1,080 ",40 ,928 ,3 ,1 ,30 ,37 ,－ ,－ ,41 ,"1,817.3 ",7.7 ,2.9 ,,,
25,988 ,41 ,830 ,3 ,－ ,24 ,38 ,－ ,2 ,50 ,"1,723.3 ",6.9 ,2.7 ,,,
26,932 ,44 ,759 ,5 ,3 ,20 ,42 ,1 ,1 ,57 ,"1,572.2 ",6.2 ,2.6 ,,,
27,924 ,53 ,701 ,3 ,－ ,32 ,48 ,2 ,－ ,85 ,"1,471.0 ",5.9 ,2.5 ,,,
28,"1,000 ",107 ,583 ,2 ,－ ,46 ,43 ,23 ,2 ,194 ,"1,367.7 ",6.0 ,2.7 ,,,
29,917 ,97 ,505 ,5 ,2 ,60 ,41 ,13 ,2 ,192 ,"1,293.6 ",5.6 ,2.5 ,,,
30,803 ,100 ,449 ,4 ,－ ,56 ,39 ,19 ,3 ,133 ,"1,179.7 ",4.9 ,2.2 ,,,
令和元年,670 ,91 ,375 ,2 ,－ ,43 ,35 ,24 ,1 ,99 ,"1,044.5 ",4.1 ,1.8 ,,,
２,617 ,75 ,316 ,7 ,1 ,47 ,34 ,13 ,3 ,121 ,844.7 ,3.8 ,1.7 ,,,
資料　秋田県警察本部,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
