４６　文　化　財,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（１）国指定,,,,,,,,,,,,,各年１２月３１日現在,,,,,,,
年次,総数,有形文化財,,,,,,,無形　文化財,民俗文化財,,記念物,,,,,,,,
,,建造物,絵画,彫刻,工芸,書跡・古文書,歴史　資料,考古　資料,,有形,無形,史跡,天然　記念物,,,,,,,
,,,,,,,,,,,,,,,,,,,,
平成24年, 24 , 8 , 1 , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
25, 24 , 8 , 1 , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
26, 24 , 8 , 1 , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
27, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
28, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
29, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
30, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
令和元年, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
２, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
３, 23 , 8 , － , 1 , － , 1 , 1 , 2 , － , 2 , 3 , 4(1) , 1 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（２）県指定,,,,,,,,,,,,,,,,,,,,
年次,総数,有形文化財,,,,,,,無形　文化財,民俗文化財,,記念物,,,,,,,,
,,建造物,絵画,彫刻,工芸,書跡・古文書,歴史　資料,考古　資料,,有形,無形,史跡,天然　記念物,,,,,,,
,,,,,,,,,,,,,,,,,,,,
平成24年, 88 , 2 , 5 , 10 , 26 , 14 , 7 , 14 , － , 3 , 2 , 4 , 1 ,,,,,,,
25, 95 , 2 , 6 , 10 , 26 , 15 , 9 , 17 , － , 3 , 2 , 4 , 1 ,,,,,,,
26, 97 , 2 , 6 , 10 , 26 , 16 , 9 , 17 , － , 3 , 2 , 5 , 1 ,,,,,,,
27, 103 , 2 , 12 , 10 , 26 , 16 , 9 , 17 , － , 3 , 2 , 5 , 1 ,,,,,,,
28, 105 , 2 , 12 , 10 , 26 , 16 , 9 , 19 , － , 3 , 2 , 5 , 1 ,,,,,,,
29, 107 , 3 , 12 , 10 , 26 , 16 , 9 , 19 , － , 4 , 2 , 5 , 1 ,,,,,,,
30, 109 , 3 , 12 , 10 , 27 , 17 , 9 , 19 , － , 4 , 2 , 5 , 1 ,,,,,,,
令和元年, 111 , 3 , 13 , 10 , 27 , 17 , 10 , 19 , － , 4 , 2 , 5 , 1 ,,,,,,,
２, 112 , 3 , 13 , 10 , 27 , 18 , 10 , 19 , － , 4 , 2 , 5 , 1 ,,,,,,,
３, 114 , 3 , 13 , 10 , 27 , 19 , 10 , 20 , － , 4 , 2 , 5 , 1 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（３）市指定,,,,,,,,,,,,,,,,,,,,
年次,総数,有形文化財,,,,,,,無形　文化財,民俗文化財,,記念物,,,,,,,,
,,建造物,絵画,彫刻,工芸,"書跡･
古文書",歴史　資料,考古　資料,,有形,無形,"史跡・
名勝",天然　記念物,,,,,,,
,,,,,,,,,,,,,,,,,,,,
平成24年, 153 , 9 , 17 , 18 , 21 , 20 , 18 , 10 , 2 , 7 , 9 , 11(2) , 11 ,,,,,,,
25, 153 , 9 , 17 , 18 , 21 , 20 , 19 , 10 , 2 , 7 , 9 , 11(2) , 10 ,,,,,,,
26, 154 , 9 , 17 , 18 , 21 , 21 , 19 , 11 , 2 , 7 , 9 , 10(2) , 10 ,,,,,,,
27, 155 , 9 , 16 , 18 , 21 , 21 , 19 , 12 , 2 , 7 , 9 , 10(2) , 11 ,,,,,,,
28, 157 , 9 , 16 , 18 , 21 , 22 , 19 , 12 , 2 , 7 , 10 , 10(2) , 11 ,,,,,,,
29, 158 , 8 , 16 , 18 , 21 , 23 , 19 , 13 , 2 , 7 , 10 , 10(2) , 11 ,,,,,,,
30, 158 , 8 , 16 , 18 , 20 , 23 , 20 , 13 , 2 , 7 , 10 , 10(2) , 11 ,,,,,,,
令和元年, 159 , 8 , 16 , 19 , 21 , 23 , 19 , 13 , 2 , 7 , 10 , 10(2) , 11 ,,,,,,,
２, 160 , 8 , 16 , 19 , 21 , 23 , 19 , 14 , 2 , 7 , 10 , 10(2) , 11 ,,,,,,,
