９９　建築の時期別住宅数,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,平成３０年１０月１日現在
住宅の種類、構造,総数,昭和45年,昭和46年,昭和56年,平成３年,平成８年,平成13年,平成18年,平成23年,平成28年
,,,～,～,～,～,～,～,～,～
,,以前,55年,平成２年,７年,12年,17年,22年,27年,30年9月
住宅総数,"136,360 ","8,850 ","18,750 ","25,510 ","14,730 ","17,290 ","14,320 ","14,050 ","9,380 ","5,160 "
（住宅の種類別）,,,,,,,,,,
専用住宅,"133,820 ","8,320 ","18,420 ","24,900 ","14,420 ","17,210 ","14,240 ","13,750 ","9,300 ","5,160 "
店舗その他の併用住宅,"2,540 ",530 ,330 ,610 ,310 ,80 ,80 ,300 ,80 , － 
（構造）,,,,,,,,,,
木造,"11,750 ","1,970 ","2,280 ","2,780 ",690 ,740 ,830 ,530 ,480 ,90 
防火木造,"96,730 ","6,740 ","14,320 ","15,270 ","11,370 ","12,230 ","10,860 ","9,470 ","7,330 ","3,460 "
鉄筋・鉄骨ｺﾝｸﾘｰﾄ造,"14,110 ",60 ,"1,440 ","5,390 ","1,420 ","1,040 ",660 ,"2,320 ",440 ,"1,120 "
鉄骨造,"13,750 ", 80 , 710 ,"2,040 ","1,250 ","3,280 ","1,980 ","1,730 ","1,130 ", 480 
その他,20 , － , － , 20 , － , － , － , － , － , － 
資料　総務省統計局「住宅・土地統計調査報告」,,,,,,,,,,
注）　１　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,,
　　　２　総数に建築の時期「不詳」を含む。,,,,,,,,,,
,,,,,,,,,,
