,,,,,令和４年１０月３１日現在,
No.,施設名称,施設所在地,施設電話,許可年月日,許可番号,営業種別
1,佐藤旅館,秋田市河辺和田６３,,7/13/51,８７３,旅館・ホテル営業
2,えびすや旅館,秋田市千秋久保田町２－３５,018-832-6517,1/26/61,１６０,旅館・ホテル営業
3,ホテルなにわ,秋田市中通六丁目１８－２７,018-832-4570,11/18/66,９４６,旅館・ホテル営業
4,伊藤旅館,秋田市山王六丁目１８－２８,018-864-5577,3/17/73,１３４,旅館・ホテル営業
5,旅館　竹馬荘,秋田市中通四丁目１４－９,018-832-6446,9/16/75,２７５,旅館・ホテル営業
6,旅館　清水館,秋田市山王七丁目５－３４,018-863-7159,7/6/76,２２８,旅館・ホテル営業
7,ホテル六甲,秋田市手形字西谷地１９７,018-835-1200,10/1/76,２９９,旅館・ホテル営業
8,伊藤旅館　(支店),秋田市山王七丁目１１－２０,018-824-0577,5/2/80,６４,旅館・ホテル営業
9,ル・ポール　みずほ,秋田市山王四丁目２－１２,018-862-2433,10/17/80,３８８,旅館・ホテル営業
10,割烹旅館　喜楽,秋田市河辺和田字北条ヶ崎１４４,018-882-2138,7/9/82,１６２０,旅館・ホテル営業
11,工藤旅館,秋田市新屋扇町３－２２,018-828-4706,2/25/84,５０５６,旅館・ホテル営業
12,菊屋旅館,秋田市土崎港相染字沼端７７－２７,018-845-5310,6/29/84,１５００,旅館・ホテル営業
13,ホテル　ピンクのおもち,秋田市南通亀の町２３－５,018-834-8251,1/5/85,４８８４,旅館・ホテル営業
14,松木台温泉,秋田市上新城中字松木台８６,018-870-2311,10/2/89,２０２９,旅館・ホテル営業
15,大橋屋旅館,秋田市千秋明徳町１－１９,018-833-6134,12/25/89,２８８４,旅館・ホテル営業
16,ユーランドホテル八橋,秋田市八橋イサノ二丁目１６－２９,018-863-7811,6/4/90,７８２,旅館・ホテル営業
17,旅館　太平閣,秋田市南通宮田２－２２,018-835-1642,6/6/91,９０４,旅館・ホテル営業
18,大内旅館,秋田市八橋本町六丁目１－１０,018-862-7127,6/6/91,９０９,旅館・ホテル営業
19,ビジネス旅館はたなか,秋田市土崎港北五丁目５－４２,018-857-2789,6/13/91,１０２３,旅館・ホテル営業
20,秋田温泉　さとみ,秋田市添川字境内川原１４２－１,018-833-7171,9/20/94,２３４９,旅館・ホテル営業
21,温泉センター　りらっくす,秋田市添川字境内川原１２４、１２７外,018-833-7171,6/14/95,１１９８,旅館・ホテル営業
22,亀屋旅館,秋田市大町一丁目４－３６,018-862-2267,10/12/95,３０９１,旅館・ホテル営業
23,ホテル　アイ　アンド　アイ,秋田市高陽幸町１－２８,018-864-0861,10/16/95,３１２９,旅館・ホテル営業
