６０　木　材　生　産　量 ,,,,,,
,,,,,,
需要部門別素材生産量（秋田県）,,,,,,各年間　単位：千ｍ３
年次,計,製材用,パルプ用,合板用,"木材
チップ用",その他用
,,,,,,
平成23年,994 ,410 ,…,439 ,145 ,…
24,983 ,425 ,…,413 ,145 ,…
25,"1,106 ",430 ,…,536 ,140 ,…
26,"1,217 ",500 ,…,565 ,152 ,…
27,"1,239 ",510 ,…,548 ,181 ,…
28,"1,289 ",512 ,…,547 ,230 ,…
29,"1,267 ",516 ,…,563 ,188 ,…
30,"1,285 ",496 ,…,602 ,187 ,…
令和元年,"1,289 ",532 ,…,585 ,172 ,…
２,"1,123 ",477 ,…,450 ,196 ,…
資料　農林水産省統計部「木材需給報告書」,,,,,,
注）　１　平成13年以降「パルプ用」、「その他用」生産量は調査なし。,,,,,,
　    ２　「…」は、調査を欠くものである。,,,,,,
