１６３　火　災　の　発　生　状　況　と　被　害　状　況,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間
年次,火災種別件数,,,,,,焼損棟数,,,,,り災世帯,,,,り災人員,焼損面積,,,,損害見積額,,,,死傷者,,年末人口
,総数,建物,林野,車両,船舶,その他,総数,全焼,半焼,部分焼,ぼや,総数,全損,半損,小損,,建 　物 （㎡）,,,林野,総額,"市民１人
当たり","火災１件
当たり","１　日
当たり",死者,傷者,
,,,,,,,,,,,,,,,,,実数,"１ 件
当たり","１ 日
当たり",,,,,,,,
,,,,,,,,,,,,,,,,,,,,(ha),（千円）,(円),（千円）,（千円）,,,
平成24年, 95 , 58 , 2 , 5 , － , 30 , 90 , 15 , 3 , 28 , 44 , 68 , 11 , 5 , 52 , 152 ," 1,983 ", 34 , 5 , 0.54 ," 206,411 ", 642 ," 2,173 ", 564 , 6 , 19 ," 321,631 "
25, 87 , 57 , 2 , 12 , 1 , 15 , 71 , 10 , 5 , 16 , 40 , 37 , 4 , 2 , 31 , 107 ," 1,681 ", 30 , 5 , 0.04 ," 112,588 ", 352 ," 1,294 ", 308 , 3 , 26 ," 319,976 "
26, 76 , 54 , 1 , 5 , － , 16 , 81 , 16 , 2 , 27 , 36 , 62 , 13 , 3 , 46 , 150 ," 2,492 ", 46 , 7 , 3.00 ," 112,712 ", 355 ," 1,486 ", 309 , 9 , 22 ," 318,367 "
27, 74 , 45 , 3 , 10 , 2 , 14 , 58 , 7 , 2 , 19 , 30 , 44 , 10 , 1 , 33 , 86 ," 2,614 ", 58 , 7 , 0.40 ," 426,374 "," 1,348 "," 5,762 "," 1,168 ", 8 , 23 ," 316,676 "
28, 66 , 47 , 1 , 7 , － , 11 , 68 , 15 , 2 , 20 , 31 , 41 , 9 , 2 , 30 , 128 ," 20,281 ", 432 , 56 , － ," 1,455,805 "," 4,649 "," 22,058 "," 3,989 ", 3 , 12 ," 314,500 "
29, 62 , 45 , 1 , 7 , － , 9 , 56 , 9 , 6 , 5 , 36 , 38 , 9 , 3 , 26 , 85 ," 3,208 ", 52 , 9 , 0.77 ," 129,116 ", 413 ," 2,082 ", 353 , 3 , 20 ," 312,374 "
30, 60 , 35 , － , 4 , － , 21 , 64 , 14 , 3 , 26 , 21 , 34 , 8 , 1 , 25 , 72 ," 2,493 ", 71 , 7 , － ," 99,651 ", 323 ," 1,660 ", 273 , 3 , 10 ," 307,940 "
令和元年, 74 , 47 , － , 9 , － , 18 , 63 , 15 , 3 , 14 , 31 , 33 , 9 , 1 , 23 , 58 ," 2,259 ", 48 , 6 , 0.31 ," 107,987 ", 351 ," 1,459 ", 296 , 3 , 28 ," 307,403 "
２, 73 , 45 , 1 , 6 , 1 , 20 , 64 , 19 , 4 , 18 , 23 , 39 , 15 , 1 , 23 , 79 ," 2,810 ", 62 , 8 , 0.29 ," 175,219 ", 577 ," 2,400 ", 480 , 7 , 17 ," 305,390 "
３, 55 , 33 , 2 , 6 , － , 14 , 38 , 4 , 1 , 14 , 19 , 28 , 2 , 10 , 16 , 60 , 686 , 21 , 2 , 0.28 ," 129,526 ", 430 ," 2,355 ", 355 , 1 , 14 ," 301,421 "
資料　秋田市消防本部予防課,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）　市民１人当たり欄の数値は各年末現在の人口で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,
