６７　産業中分類別事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等　,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,令和元年中、ただし事業所数および従業者数は令和２年６月１日現在,,,,,,
産業中分類,,事業所数,,,従　 業　 者　 数 （人）,,,,,"現 金 給
与 総 額","原 材 料
使用額等",製造品出荷額等,,,,,,,,,,,
,,Ａ,,,,,,"うち常用
労 働 者",,,,総    額,"製 造 品
出 荷 額","加 工 賃
収 入 額","その他の
収入額","１事業所
当たり",従業者１人当たり,,,,,,
,,,"うち
会社",うち組合･その他の法人,,,,,,,,,,,,,,,,,,,
,,,,,計Ｂ,男,女,男,女,（万円）,（万円）,C=C1+C2+C3,Ｃ１,Ｃ２,Ｃ３,Ｃ／Ａ,Ｃ／Ｂ,,,,,,
,,,,,,,,,,,,（万円）,（万円）,（万円）,（万円）,（万円）,（万円）,,,,,,
合　　　　計,,257 ,248 ,4 ,"10,807 ","7,567 ","3,240 ","7,562 ","3,238 ","4,317,031 ","16,872,380 ","28,328,051 ","23,857,014 ","3,427,325 ","1,043,712 ","110,226 "," 2,621 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 ,食料品製造業, 51 , 46 , 3 ," 2,561 "," 1,241 "," 1,320 "," 1,239 "," 1,319 "," 647,858 "," 2,390,707 "," 3,833,648 "," 3,290,581 "," 131,913 "," 411,154 "," 75,170 "," 1,497 ",,,,,,
10 ,飲料・たばこ・飼料製造業, 8 , 8 , - , 238 , 167 , 71 , 167 , 71 ," 104,589 "," 161,407 "," 604,116 "," 590,680 ", - ," 13,436 "," 75,515 "," 2,538 ",,,,,,
11 ,繊維工業, 12 , 10 , - , 378 , 108 , 270 , 106 , 270 ," 88,581 "," 74,804 "," 203,261 "," 41,538 "," 161,479 ", 244 ," 16,938 ", 538 ,,,,,,
12 ,木材・木製品製造業, 18 , 17 , 1 , 660 , 570 , 90 , 570 , 90 ," 242,827 "," 1,971,643 "," 3,256,075 "," 3,011,157 "," 53,487 "," 191,431 "," 180,893 "," 4,933 ",,,,,,
13 ,家具・装備品製造業, 4 , 4 , - , 27 , 19 , 8 , 19 , 8 ," 7,783 "," 15,012 "," 29,559 "," 29,230 ", 89 , 240 ," 7,390 "," 1,095 ",,,,,,
14 ,パルプ・紙・紙加工品製造業, 8 , 8 , - , 443 , 379 , 64 , 379 , 64 ," 220,125 "," 3,044,329 "," 3,691,191 "," 3,670,936 "," 3,456 "," 16,799 "," 461,399 "," 8,332 ",,,,,,
15 ,印刷・同関連業, 21 , 21 , - , 482 , 325 , 157 , 325 , 157 ," 152,157 "," 196,612 "," 525,632 "," 440,970 "," 75,019 "," 9,643 "," 25,030 "," 1,091 ",,,,,,
16 ,化学工業, 8 , 8 , - , 510 , 450 , 60 , 450 , 60 ," 302,240 "," 1,291,789 "," 2,231,840 "," 2,225,063 ", - ," 6,777 "," 278,980 "," 4,376 ",,,,,,
17 ,石油製品・石炭製品製造業, 2 , 2 , - , 12 , 9 , 3 , 9 , 3 , X , X , X , X , - , - , X , X ,,,,,,
18 ,プラスチック製品製造業, 4 , 4 , - , 79 , 63 , 16 , 63 , 16 ," 25,200 "," 83,278 "," 142,384 "," 47,739 ", 271 ," 94,374 "," 35,596 "," 1,802 ",,,,,,
19 ,ゴム製品製造業, 1 , 1 , - , 15 , 13 , 2 , 13 , 2 , X , X , X , X , X , - , X , X ,,,,,,
20 ,なめし革・同製品・毛皮製造業, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,
21 ,窯業・土石製品製造業, 12 , 12 , - , 332 , 289 , 43 , 289 , 43 ," 177,310 "," 908,806 "," 1,231,284 "," 1,230,256 ", - ," 1,028 "," 102,607 "," 3,709 ",,,,,,
22 ,鉄鋼業, 8 , 7 , - , 455 , 391 , 64 , 390 , 63 ," 160,569 "," 613,620 "," 1,037,705 "," 1,012,482 ", 627 ," 24,596 "," 129,713 "," 2,281 ",,,,,,
23 ,非鉄金属製造業, 8 , 8 , - , 587 , 530 , 57 , 530 , 57 ," 315,390 "," 1,986,010 "," 3,225,493 "," 726,936 "," 2,373,362 "," 125,195 "," 403,187 "," 5,495 ",,,,,,
24 ,金属製品製造業, 41 , 41 , - ," 1,070 ", 899 , 171 , 899 , 171 ," 435,994 "," 1,688,284 "," 3,022,030 "," 2,688,638 "," 259,433 "," 73,959 "," 73,708 "," 2,824 ",,,,,,
25 ,はん用機械器具製造業, 2 , 2 , - , 97 , 72 , 25 , 72 , 25 , X , X , X , X , - , X , X , X ,,,,,,
26 ,生産用機械器具製造業, 15 , 15 , - , 348 , 267 , 81 , 267 , 81 ," 127,088 "," 240,180 "," 488,856 "," 416,124 "," 70,704 "," 2,028 "," 32,590 "," 1,405 ",,,,,,
27 ,業務用機械器具製造業, 8 , 8 , - , 424 , 300 , 124 , 300 , 124 ," 214,155 "," 301,773 "," 1,269,087 "," 1,133,806 "," 121,414 "," 13,867 "," 158,636 "," 2,993 ",,,,,,
28 ,電子部品・デバイス・電子回路製造業, 8 , 8 , - ," 1,867 "," 1,318 ", 549 ," 1,318 ", 549 ," 979,228 "," 1,558,681 "," 2,906,991 "," 2,779,089 "," 127,902 ", - ," 363,374 "," 1,557 ",,,,,,
29 ,電気機械器具製造業, 3 , 3 , - , 24 , 16 , 8 , 16 , 8 ," 4,913 "," 6,054 "," 14,473 "," 8,123 "," 6,350 ", - ," 4,824 ", 603 ,,,,,,
30 ,情報通信機械器具製造業, 2 , 2 , - , 42 , 33 , 9 , 33 , 9 , X , X , X , X , X , - , X , X ,,,,,,
