８９　用途別床面積（着工建築物）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,各年度間　単位：ｍ²
年度,建築物計,居住専用住宅,"居住専用
準住宅","居住産業併用
建築物","農林水産業用
建築物","鉱工業用
建築物","鉱業、
建設業用
建築物","製造業用
建築物",電気･ｶﾞｽ･熱供給水道業用建築物,"情報通信業用
建築物","運輸業用
建築物","卸売･
小売業用
建築物"
,,,,,,,,,,,,
平成23年度,"294,956 ","172,412 ","2,332 ","6,102 ","9,194 ",－ ,"1,410 ","6,939 ","2,686 ","4,159 ","11,795 ","9,491 "
24 ,"255,865 ","173,771 ","7,399 ","2,033 ",884 ,－ ,"2,995 ","8,902 ","1,910 ",18 ,"6,268 ","16,561 "
25 ,"351,139 ","192,144 ","1,489 ","2,080 ","2,977 ",－ ,"4,411 ",631 ,412 ,－ ,396 ,452 
26 ,"261,445 ","165,348 ","3,372 ","2,976 ","1,456 ",－ ,"2,427 ","7,601 ","6,265 ",328 ,"6,698 ","28,456 "
27 ,"258,879 ","168,532 ","3,511 ","3,105 ",450 ,－ ,"3,484 ","17,228 ","2,042 ",101 ,"11,075 ","9,000 "
28 ,"296,804 ","185,820 ","1,249 ","3,379 ","9,063 ",－ ,"4,197 ","20,224 ","2,615 ",266 ,"10,005 ","16,449 "
29 ,"248,183 ","172,071 ",526 ,"1,723 ","8,672 ",－ ,"4,538 ","5,419 ","1,494 ",81 ,"4,887 ","13,624 "
30 ,"295,222 ","190,275 ",998 ,"10,685 ","2,463 ",－ ,"6,206 ","15,281 ",950 ,"4,963 ","20,984 ","12,777 "
令和元年度,"276,015 ","161,802 ","1,091 ","1,163 ","3,281 ",－ ,"3,524 ","13,424 ","2,503 ",141 ,"14,280 ","10,842 "
２,"253,628 ","174,375 ",210 ,"3,552 ","3,161 ",－ ,"4,013 ","3,959 ",326 ,196 ,"1,088 ","18,644 "
,,,,,,,,,,,,
年度,"商業用
建築物","金融･
保険業用
建築物","不動産業用
建築物","飲食店､
宿泊業用
建築物","医療･福祉用
建築物",教育･学習支援業用建築物,"公益事業用
建築物",その他ｻｰﾋﾞｽ業用建築物,"サービス業用
建築物","公務文教用
建築物","公務用
建築物",他に分類されない建築物
,,,,,,,,,,,,
平成23年度,－ ,"1,792 ",374 ,692 ,"42,050 ","10,099 ",－ ,"3,497 ",－ ,－ ,"5,524 ","4,408 "
24 ,－ ,"2,346 ",－ ,"1,333 ","7,884 ","3,551 ",－ ,"12,657 ",－ ,－ ,"6,298 ","1,055 "
25 ,－ ,"1,140 ",－ ,744 ,"3,041 ",180 ,－ ,"1,084 ",－ ,－ ,141 ,178 
26 ,－ ,291 ,"1,451 ","1,604 ","14,385 ","5,603 ",－ ,"9,219 ",－ ,－ ,"3,909 ",56 
27 ,－ ,511 ,329 ,"1,611 ","11,704 ","14,474 ",－ ,"9,706 ",－ ,－ ,"1,930 ",86 
28 ,－ ,722 ,138 ,"2,304 ","21,977 ","10,164 ",－ ,"4,774 ",－ ,－ ,"3,458 ",－ 
29 ,－ ,465 ,－ ,"2,164 ","17,131 ","1,379 ",－ ,"9,131 ",－ ,－ ,"4,878 ",－ 
30 ,－ ,"1,397 ",324 ,"1,100 ","13,693 ","7,147 ",－ ,"5,273 ",－ ,－ ,689 ,17 
令和元年度,－ ,－ ,403 ,"1,461 ","15,141 ","31,781 ",－ ,"8,476 ",－ ,－ ,"6,689 ",13 
２,－ ,101 ,308 ,"4,784 ","8,170 ","6,032 ",－ ,"3,308 ",－ ,－ ,"2,651 ","18,750 "
資料　秋田市建築指導課,,,,,,,,,,,,
注）　日本標準産業分類の改訂(平成14年10月1日適用)に伴い、同分類における中分類の産業分類を組み合わせていた日本標準建築物用途分類の見直しが,,,,,,,,,,,,
　  　行われたため、建築着工統計に用いる建築物用途分類も分類項目が改訂され、併せて分類名称も「日本標準建築物用途分類」から「建築物用途分類」,,,,,,,,,,,,
　　　に改訂され、平成15年4月1日から施行したことにより、平成15年度から細分類での計上となる。,,,,,,,,,,,,
　　　,,,,,,,,,,,,
