人　口　世　帯　表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  平成１１年１月１日現在        ,,,,,,,,,　　　　　,秋田市企画調整課,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,
,"120,868 ","315,934 ",2.61 ,459.97 ,686.9 ,,前 月 分,"120,890 ","315,832 ","150,919 ","164,913 ",,,,
,,,,,,,増 減 数,-22 ,102 ,53 ,49 ,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,
秋　田　市,,"120,868 ","315,934 ","150,972 ","164,962 ",北　部　地　区,北部地区計,"30,120 ","86,500 ","41,338 ","45,162 ",,,,
,,,,,,,寺      内,"3,854 ","10,162 ","5,145 ","5,017 ",,,,
中　央　地　区,中央地区計,"34,614 ","78,809 ","37,176 ","41,633 ",,外  旭  川,"4,580 ","13,214 ","6,338 ","6,876 ",,,,
,大　    町,"1,685 ","3,438 ","1,489 ","1,949 ",,土崎港中央,"2,075 ","5,576 ","2,454 ","3,122 ",,,,
,旭      北,411 ,870 ,417 ,453 ,,土崎港  東,"1,125 ","3,032 ","1,444 ","1,588 ",,,,
,旭      南,"1,426 ","3,312 ","1,488 ","1,824 ",,土崎港  西,529 ,"1,348 ",651 ,697 ,,,,
,川      元,"1,200 ","2,490 ","1,131 ","1,359 ",,土崎港  南,"1,384 ","3,682 ","1,684 ","1,998 ",,,,
,川      尻,"2,311 ","5,865 ","2,979 ","2,886 ",,土崎港  北,"2,275 ","6,308 ","2,954 ","3,354 ",,,,
,山   　 王,"2,757 ","5,232 ","2,652 ","2,580 ",,土崎港その他,"1,007 ","2,824 ","1,412 ","1,412 ",,,,
,高      陽,"1,137 ","2,252 ","1,099 ","1,153 ",,将軍野  東,"1,499 ","3,937 ","1,821 ","2,116 ",,,,
,保  戸  野,"2,843 ","6,636 ","3,050 ","3,586 ",,将軍野  南,"1,658 ","4,167 ","1,916 ","2,251 ",,,,
,泉,"3,856 ","9,309 ","4,446 ","4,863 ",,将軍野その他,"1,268 ","3,621 ","1,750 ","1,871 ",,,,
,千      秋,"2,378 ","5,244 ","2,422 ","2,822 ",,港      北,520 ,"1,393 ",647 ,746 ,,,,
,中      通,"1,518 ","2,882 ","1,249 ","1,633 ",,飯      島,"5,380 ","16,875 ","8,299 ","8,576 ",,,,
,南      通,"2,209 ","4,840 ","2,162 ","2,678 ",,金      足,"1,226 ","4,048 ","1,899 ","2,149 ",,,,
,楢      山,"4,113 ","10,095 ","4,599 ","5,496 ",,下  新  城,"1,334 ","4,702 ","2,169 ","2,533 ",,,,
,茨      島,"2,166 ","5,571 ","2,739 ","2,832 ",,上  新  城,406 ,"1,611 ",755 ,856 ,,,,
,八      橋,"4,604 ","10,773 ","5,254 ","5,519 ",,,,,,,,,,
東　部　地　区,東部地区計,"27,348 ","66,073 ","32,238 ","33,835 ",,○　前月人口増減の内訳,,,,,,,,
,東      通,"3,499 ","7,037 ","3,363 ","3,674 ",,,計,男,女,,,,,
,手      形,"2,422 ","4,905 ","2,481 ","2,424 ",,転    入,606 ,315 ,291 ,,,,,
,手 形（字）,"3,361 ","6,642 ","3,392 ","3,250 ",,転    出,594 ,312 ,282 ,,,,,
,手  形  山,838 ,"2,328 ","1,058 ","1,270 ",,出    生,263 ,143 ,120 ,,,,,
,泉（旭 川）,"1,303 ","3,519 ","1,655 ","1,864 ",,死    亡,173 ,93 ,80 ,,,,,
,旭      川,915 ,"2,487 ","1,149 ","1,338 ",,社会動態,12 ,3 ,9 ,,,,,
,新  藤  田,511 ,"1,368 ",621 ,747 ,,自然動態,90 ,50 ,40 ,,,,,
,濁      川,677 ,"2,063 ","1,000 ","1,063 ",,増 減 計,102 ,53 ,49 ,,,,,
,添      川,509 ,"1,552 ",692 ,860 ,,,,,,,,,,
,山      内,98 ,498 ,208 ,290 ,,○　平成１０年１月１日からの累計,,,,,,,,
,仁      別,62 ,208 ,95 ,113 ,,,計,男,女,,,,,
,広      面,"6,532 ","14,263 ","7,107 ","7,156 ",,転    入,"13,643 ","7,530 ","6,113 ",,,,,
,柳      田,575 ,"1,694 ",771 ,923 ,,転    出,"13,157 ","7,361 ","5,796 ",,,,,
,横      森,"1,799 ","4,483 ","2,198 ","2,285 ",,出    生,"2,889 ","1,467 ","1,422 ",,,,,
,桜,"1,352 ","3,378 ","1,689 ","1,689 ",,死    亡,"2,175 ","1,174 ","1,001 ",,,,,
,桜  ガ  丘,639 ,"2,152 ","1,024 ","1,128 ",,社会動態,486 ,169 ,317 ,,,,,
,下  北  手,"1,392 ","4,402 ","2,260 ","2,142 ",,自然動態,714 ,293 ,421 ,,,,,
,太      平,864 ,"3,094 ","1,475 ","1,619 ",,増 減 計,"1,200 ",462 ,738 ,,,,,
西部地区,西部地区計,"12,163 ","35,975 ","17,107 ","18,868 ",,,,,,,,,,
,新      屋,"5,003 ","14,169 ","6,685 ","7,484 ",,○　平成７年１０月１日からの累計,,,,,,,,
,勝      平,"4,931 ","13,896 ","6,787 ","7,109 ",,,計,男,女,,,,,
,浜      田,842 ,"3,038 ","1,359 ","1,679 ",,転    入,"43,116 ","23,731 ","19,385 ",,,,,
,豊      岩,583 ,"2,142 ","1,012 ","1,130 ",,転    出,"41,474 ","22,998 ","18,476 ",,,,,
,下      浜,804 ,"2,730 ","1,264 ","1,466 ",,出    生,"9,273 ","4,790 ","4,483 ",,,,,
南 部 地 区,南部地区計,"16,623 ","48,577 ","23,113 ","25,464 ",,死    亡,"6,929 ","3,819 ","3,110 ",,,,,
,牛  島  東,"2,522 ","6,591 ","3,107 ","3,484 ",,社会動態,"1,642 ",745 ,897 ,,,,,
