,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成３０年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"135,976 ","310,634 ",2.28 ,906.07 ,342.8 ,,前 月 分,"136,127 ","311,018 ","146,598 ","164,420 ",,,,,
,,,,,,,増 減 数,-151 ,-384 ,-184 ,-200 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"135,976 ","310,634 ","146,414 ","164,220 ",北部地域,北部地域計,"32,139 ","77,275 ","36,417 ","40,858 ",,,,,
,,,,,,,寺      内,"3,851 ","8,898 ","4,401 ","4,497 ",,,,,
中央地域,中央地域計,"35,661 ","71,517 ","33,768 ","37,749 ",,外  旭  川,"5,197 ","12,498 ","5,855 ","6,643 ",,,,,
,大　    町,"1,560 ","2,805 ","1,250 ","1,555 ",,土崎港中央,"1,879 ","4,493 ","2,027 ","2,466 ",,,,,
,旭      北,427 ,714 ,383 ,331 ,,土崎港  東,"1,133 ","2,693 ","1,276 ","1,417 ",,,,,
,旭      南,"1,294 ","2,581 ","1,131 ","1,450 ",,土崎港  西,566 ,"1,360 ",658 ,702 ,,,,,
,川      元,"1,056 ","2,002 ",909 ,"1,093 ",,土崎港  南,"1,217 ","2,794 ","1,285 ","1,509 ",,,,,
,川      尻,"2,217 ","5,210 ","2,681 ","2,529 ",,土崎港  北,"2,468 ","5,758 ","2,661 ","3,097 ",,,,,
,山   　 王,"3,141 ","5,763 ","2,852 ","2,911 ",,土崎港その他,"1,373 ","3,060 ","1,466 ","1,594 ",,,,,
,高      陽,"1,081 ","1,921 ",941 ,980 ,,将軍野  東,"1,555 ","3,573 ","1,670 ","1,903 ",,,,,
,保  戸  野,"2,649 ","5,559 ","2,540 ","3,019 ",,将軍野  南,"1,594 ","3,418 ","1,607 ","1,811 ",,,,,
,泉,"4,613 ","10,168 ","4,798 ","5,370 ",,将軍野その他,"1,465 ","3,465 ","1,628 ","1,837 ",,,,,
,千      秋,"2,386 ","4,368 ","2,083 ","2,285 ",,港      北,547 ,"1,187 ",559 ,628 ,,,,,
,中      通,"2,280 ","4,029 ","1,804 ","2,225 ",,飯      島,"6,061 ","15,607 ","7,439 ","8,168 ",,,,,
,南      通,"2,219 ","3,843 ","1,834 ","2,009 ",,金      足,"1,194 ","2,995 ","1,399 ","1,596 ",,,,,
,楢      山,"4,031 ","8,732 ","3,960 ","4,772 ",,下  新  城,"1,666 ","4,372 ","2,014 ","2,358 ",,,,,
,茨      島,"2,164 ","4,449 ","2,122 ","2,327 ",,上  新  城,373 ,"1,104 ",472 ,632 ,,,,,
