,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成３１年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"136,261 ","307,940 ",2.26 ,906.07 ,339.9 ,,前 月 分,"136,407 ","308,234 ","145,324 ","162,910 ",,,,,
,,,,,,,増 減 数,-146 ,-294 ,-104 ,-190 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"136,261 ","307,940 ","145,220 ","162,720 ",北部地域,北部地域計,"32,266 ","76,737 ","36,166 ","40,571 ",,,,,
,,,,,,,寺      内,"3,855 ","8,804 ","4,351 ","4,453 ",,,,,
中央地域,中央地域計,"35,575 ","70,691 ","33,407 ","37,284 ",,外  旭  川,"5,212 ","12,392 ","5,806 ","6,586 ",,,,,
,大　    町,"1,541 ","2,747 ","1,228 ","1,519 ",,土崎港中央,"1,877 ","4,454 ","2,010 ","2,444 ",,,,,
,旭      北,424 ,698 ,369 ,329 ,,土崎港  東,"1,127 ","2,661 ","1,258 ","1,403 ",,,,,
,旭      南,"1,287 ","2,527 ","1,102 ","1,425 ",,土崎港  西,562 ,"1,358 ",648 ,710 ,,,,,
,川      元,"1,066 ","2,040 ",935 ,"1,105 ",,土崎港  南,"1,215 ","2,756 ","1,267 ","1,489 ",,,,,
,川      尻,"2,205 ","5,101 ","2,647 ","2,454 ",,土崎港  北,"2,445 ","5,687 ","2,622 ","3,065 ",,,,,
,山   　 王,"3,130 ","5,735 ","2,846 ","2,889 ",,土崎港その他,"1,394 ","3,080 ","1,477 ","1,603 ",,,,,
,高      陽,"1,085 ","1,902 ",911 ,991 ,,将軍野  東,"1,544 ","3,552 ","1,668 ","1,884 ",,,,,
,保  戸  野,"2,656 ","5,500 ","2,518 ","2,982 ",,将軍野  南,"1,598 ","3,406 ","1,610 ","1,796 ",,,,,
,泉,"4,568 ","10,004 ","4,721 ","5,283 ",,将軍野その他,"1,465 ","3,412 ","1,602 ","1,810 ",,,,,
,千      秋,"2,354 ","4,318 ","2,060 ","2,258 ",,港      北,537 ,"1,153 ",546 ,607 ,,,,,
,中      通,"2,273 ","3,962 ","1,779 ","2,183 ",,飯      島,"6,173 ","15,653 ","7,464 ","8,189 ",,,,,
,南      通,"2,234 ","3,816 ","1,820 ","1,996 ",,金      足,"1,195 ","2,951 ","1,382 ","1,569 ",,,,,
,楢      山,"4,047 ","8,686 ","3,947 ","4,739 ",,下  新  城,"1,692 ","4,328 ","1,991 ","2,337 ",,,,,
,茨      島,"2,163 ","4,379 ","2,082 ","2,297 ",,上  新  城,375 ,"1,090 ",464 ,626 ,,,,,
