,,,,人　口　世　帯　表,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
令和４年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,
,,,,,,,○　前  月  対  比,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女
,"137,904 ","305,062 ",2.21 ,906.07 ,336.7 ,,前 月 分,"137,913 ","305,235 ","144,270 ","160,965 "
,,,,,,,増 減 数,-9 ,-173 ,-85 ,-88 
○　地区別人口世帯表,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,
,,,人 口 計,男,女,,,,人 口 計,男,女
秋　田　市,,"137,904 ","305,062 ","144,185 ","160,877 ",北部地域,北部地域計,"32,533 ","76,242 ","35,962 ","40,280 "
,,,,,,,寺      内,"3,900 ","8,747 ","4,267 ","4,480 "
中央地域,中央地域計,"36,145 ","70,842 ","33,626 ","37,216 ",,外  旭  川,"5,324 ","12,306 ","5,763 ","6,543 "
,大　    町,"1,550 ","2,620 ","1,179 ","1,441 ",,土崎港中央,"1,858 ","4,297 ","1,958 ","2,339 "
,旭      北,401 ,660 ,330 ,330 ,,土崎港  東,"1,117 ","2,563 ","1,223 ","1,340 "
,旭      南,"1,322 ","2,535 ","1,100 ","1,435 ",,土崎港  西,638 ,"1,479 ",714 ,765 
,川      元,"1,129 ","2,115 ",974 ,"1,141 ",,土崎港  南,"1,231 ","2,686 ","1,238 ","1,448 "
,川      尻,"2,116 ","4,848 ","2,525 ","2,323 ",,土崎港  北,"2,462 ","5,684 ","2,659 ","3,025 "
,山   　 王,"3,198 ","5,838 ","2,960 ","2,878 ",,土崎港その他,"1,358 ","2,988 ","1,451 ","1,537 "
,高      陽,"1,069 ","1,867 ",915 ,952 ,,将軍野  東,"1,612 ","3,683 ","1,728 ","1,955 "
,保  戸  野,"2,622 ","5,365 ","2,468 ","2,897 ",,将軍野  南,"1,596 ","3,435 ","1,599 ","1,836 "
,泉,"4,636 ","10,023 ","4,696 ","5,327 ",,将軍野その他,"1,411 ","3,257 ","1,525 ","1,732 "
,千      秋,"2,341 ","4,221 ","2,038 ","2,183 ",,港      北,524 ,"1,130 ",544 ,586 
,中      通,"2,538 ","4,307 ","2,002 ","2,305 ",,飯      島,"6,260 ","15,671 ","7,474 ","8,197 "
,南      通,"2,270 ","3,945 ","1,849 ","2,096 ",,金      足,"1,178 ","2,869 ","1,356 ","1,513 "
,楢      山,"4,171 ","8,823 ","4,069 ","4,754 ",,下  新  城,"1,701 ","4,352 ","1,994 ","2,358 "
,茨      島,"2,188 ","4,483 ","2,170 ","2,313 ",,上  新  城,363 ,"1,095 ",469 ,626 
,八      橋,"4,594 ","9,192 ","4,351 ","4,841 ",河　　　辺,,"2,955 ","7,640 ","3,615 ","4,025 "
東部地域,東部地域計,"29,709 ","61,901 ","29,511 ","32,390 ",雄　　　和,,"1,830 ","5,253 ","2,565 ","2,688 "
,東      通,"3,253 ","5,994 ","2,868 ","3,126 ",,,,,,
