,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
令和２年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"136,628 ","305,625 ",2.24 ,906.07 ,337.3 ,,前 月 分,"136,769 ","305,920 ","144,247 ","161,673 ",,,,,
,,,,,,,増 減 数,-141 ,-295 ,-122 ,-173 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"136,628 ","305,625 ","144,125 ","161,500 ",北部地域,北部地域計,"32,386 ","76,159 ","35,904 ","40,255 ",,,,,
,,,,,,,寺      内,"3,860 ","8,721 ","4,284 ","4,437 ",,,,,
中央地域,中央地域計,"35,644 ","70,233 ","33,260 ","36,973 ",,外  旭  川,"5,259 ","12,293 ","5,766 ","6,527 ",,,,,
,大　    町,"1,537 ","2,695 ","1,201 ","1,494 ",,土崎港中央,"1,879 ","4,443 ","2,013 ","2,430 ",,,,,
,旭      北,396 ,648 ,342 ,306 ,,土崎港  東,"1,143 ","2,638 ","1,240 ","1,398 ",,,,,
,旭      南,"1,264 ","2,497 ","1,085 ","1,412 ",,土崎港  西,568 ,"1,388 ",672 ,716 ,,,,,
,川      元,"1,053 ","2,026 ",923 ,"1,103 ",,土崎港  南,"1,193 ","2,702 ","1,222 ","1,480 ",,,,,
,川      尻,"2,185 ","5,011 ","2,625 ","2,386 ",,土崎港  北,"2,434 ","5,644 ","2,625 ","3,019 ",,,,,
,山   　 王,"3,197 ","5,813 ","2,915 ","2,898 ",,土崎港その他,"1,389 ","3,029 ","1,463 ","1,566 ",,,,,
,高      陽,"1,088 ","1,902 ",925 ,977 ,,将軍野  東,"1,558 ","3,547 ","1,672 ","1,875 ",,,,,
,保  戸  野,"2,647 ","5,433 ","2,492 ","2,941 ",,将軍野  南,"1,600 ","3,408 ","1,605 ","1,803 ",,,,,
,泉,"4,572 ","9,888 ","4,652 ","5,236 ",,将軍野その他,"1,450 ","3,342 ","1,578 ","1,764 ",,,,,
,千      秋,"2,366 ","4,302 ","2,059 ","2,243 ",,港      北,539 ,"1,134 ",533 ,601 ,,,,,
,中      通,"2,270 ","3,928 ","1,778 ","2,150 ",,飯      島,"6,258 ","15,649 ","7,471 ","8,178 ",,,,,
,南      通,"2,279 ","3,859 ","1,826 ","2,033 ",,金      足,"1,200 ","2,908 ","1,362 ","1,546 ",,,,,
,楢      山,"4,070 ","8,714 ","3,975 ","4,739 ",,下  新  城,"1,682 ","4,248 ","1,945 ","2,303 ",,,,,
,茨      島,"2,177 ","4,360 ","2,084 ","2,276 ",,上  新  城,374 ,"1,065 ",453 ,612 ,,,,,
