,,,,人　口　世　帯　表,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
令和３年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,
,,,,,,,○　前  月  対  比,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女
,"137,022 ","307,278 ",2.24 ,906.07 ,339.1 ,,前 月 分,"137,055 ","307,451 ","145,312 ","162,139 "
,,,,,,,増 減 数,-33 ,-173 ,-77 ,-96 
○　地区別人口世帯表,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,
,,,人 口 計,男,女,,,,人 口 計,男,女
秋　田　市,,"137,022 ","307,278 ","145,235 ","162,043 ",北部地域,北部地域計,"32,379 ","76,766 ","36,189 ","40,577 "
,,,,,,,寺      内,"3,874 ","8,800 ","4,291 ","4,509 "
中央地域,中央地域計,"35,932 ","71,197 ","33,788 ","37,409 ",,外  旭  川,"5,243 ","12,297 ","5,756 ","6,541 "
,大　    町,"1,558 ","2,669 ","1,206 ","1,463 ",,土崎港中央,"1,873 ","4,361 ","1,971 ","2,390 "
,旭      北,402 ,670 ,338 ,332 ,,土崎港  東,"1,129 ","2,628 ","1,254 ","1,374 "
,旭      南,"1,301 ","2,514 ","1,082 ","1,432 ",,土崎港  西,631 ,"1,485 ",708 ,777 
,川      元,"1,128 ","2,126 ",993 ,"1,133 ",,土崎港  南,"1,239 ","2,744 ","1,272 ","1,472 "
,川      尻,"2,121 ","4,877 ","2,533 ","2,344 ",,土崎港  北,"2,464 ","5,741 ","2,687 ","3,054 "
,山   　 王,"3,160 ","5,820 ","2,950 ","2,870 ",,土崎港その他,"1,346 ","2,991 ","1,453 ","1,538 "
,高      陽,"1,071 ","1,873 ",921 ,952 ,,将軍野  東,"1,580 ","3,620 ","1,691 ","1,929 "
,保  戸  野,"2,632 ","5,458 ","2,497 ","2,961 ",,将軍野  南,"1,593 ","3,458 ","1,618 ","1,840 "
,泉,"4,622 ","10,104 ","4,744 ","5,360 ",,将軍野その他,"1,416 ","3,325 ","1,552 ","1,773 "
,千      秋,"2,316 ","4,274 ","2,049 ","2,225 ",,港      北,518 ,"1,124 ",541 ,583 
,中      通,"2,486 ","4,274 ","1,974 ","2,300 ",,飯      島,"6,253 ","15,757 ","7,515 ","8,242 "
,南      通,"2,275 ","3,949 ","1,850 ","2,099 ",,金      足,"1,170 ","2,908 ","1,383 ","1,525 "
,楢      山,"4,147 ","8,856 ","4,077 ","4,779 ",,下  新  城,"1,683 ","4,405 ","2,015 ","2,390 "
,茨      島,"2,146 ","4,497 ","2,160 ","2,337 ",,上  新  城,367 ,"1,122 ",482 ,640 
,八      橋,"4,567 ","9,236 ","4,414 ","4,822 ",河　　　辺,,"2,940 ","7,812 ","3,671 ","4,141 "
東部地域,東部地域計,"29,509 ","62,231 ","29,662 ","32,569 ",雄　　　和,,"1,818 ","5,393 ","2,642 ","2,751 "
,東      通,"3,218 ","5,958 ","2,844 ","3,114 ",,,,,,
