,,,,人　口　世　帯　表,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
平成２６年１月１日現在,,,,,,,,,　　　　　,秋田市情報統計課,,,,,,
,,,,,,,○　前  月  対  比,,,,,,,,,
,世 帯 数,人   口,１世帯,面  積,人  口,,,世 帯 数,人　　 　　　口,,,,,,,
,,,人  員,ｋ㎡,密  度,,,,計,男,女,,,,,
,"134,094 ","319,976 ",2.39 ,905.67 ,353.3 ,,前 月 分,"134,157 ","320,146 ","150,498 ","169,648 ",,,,,
,,,,,,,増 減 数,-63 ,-170 ,-87 ,-83 ,,,,,
○　地区別人口世帯表,,,,,,,,,,,,,,,,
地  区  名,,世 帯 数,   　 人　　　　　　口　　　,,,地  区  名,,世 帯 数,人　　　 　　口,,,,,,,
,,,人 口 計,男,女,,,,人 口 計,男,女,,,,,
秋　田　市,,"134,094 ","319,976 ","150,411 ","169,565 ",北部地域,北部地域計,"31,991 ","80,441 ","37,804 ","42,637 ",,,,,
,,,,,,,寺      内,"3,807 ","9,216 ","4,513 ","4,703 ",,,,,
中央地域,中央地域計,"34,688 ","73,044 ","34,471 ","38,573 ",,外  旭  川,"5,118 ","12,740 ","5,909 ","6,831 ",,,,,
,大　    町,"1,482 ","2,702 ","1,207 ","1,495 ",,土崎港中央,"1,905 ","4,597 ","2,058 ","2,539 ",,,,,
,旭      北,417 ,714 ,390 ,324 ,,土崎港  東,"1,169 ","2,850 ","1,334 ","1,516 ",,,,,
,旭      南,"1,293 ","2,691 ","1,152 ","1,539 ",,土崎港  西,598 ,"1,342 ",665 ,677 ,,,,,
,川      元,973 ,"2,093 ",980 ,"1,113 ",,土崎港  南,"1,232 ","2,892 ","1,344 ","1,548 ",,,,,
,川      尻,"2,147 ","5,444 ","2,871 ","2,573 ",,土崎港  北,"2,489 ","5,974 ","2,757 ","3,217 ",,,,,
,山   　 王,"3,003 ","5,776 ","2,829 ","2,947 ",,土崎港その他,"1,299 ","3,132 ","1,524 ","1,608 ",,,,,
,高      陽,"1,048 ","1,969 ",983 ,986 ,,将軍野  東,"1,529 ","3,696 ","1,702 ","1,994 ",,,,,
,保  戸  野,"2,572 ","5,537 ","2,530 ","3,007 ",,将軍野  南,"1,587 ","3,653 ","1,714 ","1,939 ",,,,,
,泉,"4,501 ","10,354 ","4,884 ","5,470 ",,将軍野その他,"1,423 ","3,587 ","1,682 ","1,905 ",,,,,
,千      秋,"2,342 ","4,485 ","2,124 ","2,361 ",,港      北,533 ,"1,284 ",599 ,685 ,,,,,
,中      通,"2,093 ","3,804 ","1,703 ","2,101 ",,飯      島,"6,021 ","16,129 ","7,721 ","8,408 ",,,,,
,南      通,"2,061 ","3,992 ","1,817 ","2,175 ",,金      足,"1,214 ","3,215 ","1,505 ","1,710 ",,,,,
,楢      山,"4,143 ","9,139 ","4,147 ","4,992 ",,下  新  城,"1,684 ","4,872 ","2,237 ","2,635 ",,,,,
,茨      島,"2,087 ","4,702 ","2,276 ","2,426 ",,上  新  城,383 ,"1,262 ",540 ,722 ,,,,,
