８２　秋田港の階級別入港船舶数,,,,,,,,,,
,,,,,,,,,,
(1) 隻数（隻）,,,,,,,,,各年間,
年　次,総数,"５～100ｔ
　　　　未満","100～500ｔ
　　　　未満",500～,"1,000～","3,000～","6,000～","10,000ｔ
　　　　以上",外国船,
,,,,"1,000ｔ未満","3,000ｔ未満","6,000ｔ未満","10,000ｔ未満",,（再掲）,
平成23年,"3,330 ",402 ,676 ,450 ,240 ,652 ,209 ,701 ,487 ,
24,"3,332 ",813 ,516 ,342 ,210 ,572 ,176 ,703 ,534 ,
25,"2,788 ",353 ,471 ,330 ,159 ,607 ,162 ,706 ,510 ,
26,"2,541 ",197 ,450 ,316 ,131 ,576 ,188 ,683 ,439 ,
27,"2,714 ",322 ,442 ,329 ,157 ,569 ,221 ,674 ,493 ,
28,"2,756 ",281 ,384 ,383 ,162 ,572 ,283 ,691 ,473 ,
29,"2,539 ",164 ,416 ,350 ,194 ,566 ,178 ,671 ,376 ,
30,"2,593 ",303 ,417 ,361 ,145 ,582 ,164 ,621 ,340 ,
令和元年,"2,532 ",348 ,430 ,341 ,133 ,527 ,159 ,594 ,366 ,
２,"2,648 ",598 ,357 ,339 ,133 ,449 ,213 ,559 ,363 ,
,,,,,,,,,,
(2) 総トン数（トン）,,,,,,,,,各年間,
年　次,総数,"５～100ｔ
　　　　未満","100～500ｔ
　　　　未満",500～,"1,000～","3,000～","6,000～","10,000ｔ
　　　　以上",外国船,
,,,,"1,000ｔ未満","3,000ｔ未満","6,000ｔ未満","10,000ｔ未満",,（再掲）,
平成23年,"20,402,457 ","7,002 ","287,935 ","371,171 ","508,260 ","2,587,446 ","1,641,197 ","14,999,446 ","4,442,431 ",
24,"19,933,198 ","12,153 ","221,260 ","278,814 ","488,064 ","2,325,270 ","1,412,884 ","15,194,753 ","4,725,670 ",
25,"19,862,846 ","6,193 ","200,727 ","269,778 ","366,495 ","2,459,106 ","1,360,357 ","15,200,190 ","4,783,367 ",
26,"19,279,960 ","3,897 ","198,894 ","261,729 ","293,518 ","2,301,017 ","1,583,027 ","14,637,878 ","4,191,588 ",
27,"19,805,863 ","6,133 ","193,954 ","274,245 ","362,727 ","2,265,875 ","1,862,846 ","14,840,083 ","5,089,390 ",
28,"20,336,467 ","5,477 ","160,224 ","315,936 ","369,931 ","2,217,901 ","2,258,298 ","15,008,700 ","4,786,510 ",
29,"18,848,917 ","3,310 ","179,557 ","285,117 ","438,470 ","2,209,881 ","1,607,497 ","14,125,085 ","4,675,351 ",
30,"17,397,309 ","5,325 ","180,199 ","289,099 ","339,810 ","2,277,050 ","1,549,593 ","12,756,233 ","4,304,268 ",
令和元年,"16,894,798 ","7,269 ","187,626 ","264,633 ","307,571 ","2,118,335 ","1,498,001 ","12,511,363 ","4,785,654 ",
２,"15,315,535 ","10,180 ","160,099 ","257,798 ","302,666 ","1,824,080 ","2,019,081 ","10,741,631 ","3,436,351 ",
資料　秋田県港湾空港課「港湾統計年報」,,,,,,,,,,
