８４　　秋田空港の利用状況  （ Ⅱ ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(2) 秋田－大阪（伊丹）間,,,,,,,,,,,,,,,,各年間
年月,日本航空 ,,,,,,,,全日本空輸,,,,,,,
,大阪（伊丹）　→　秋田,,,,秋田　→　大阪（伊丹）,,,,大阪（伊丹）　→　秋田,,,,秋田　→　大阪（伊丹）,,,
,運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）"
,,,,,,,,,,,,,,,,
平成28年,"1,091 ","53,183 ",65.7 ,99.4 ,"1,083 ","53,153 ",66.1 ,98.6 ,"1,083 ","41,294 ",71.5 ,98.6 ,"1,076 ","41,273 ",71.9 ,98.0 
29,"1,063 ","46,599 ",70.4 ,97.1 ,"1,052 ","44,720 ",68.1 ,96.1 ,"1,086 ","54,937 ",68.4 ,98.5 ,"1,083 ","56,401 ",70.3 ,98.3 
30,"1,074 ","58,714 ",61.6 ,98.1 ,"1,074 ","57,374 ",60.2 ,98.1 ,"1,079 ","52,761 ",66.1 ,98.5 ,"1,070 ","53,141 ",67.1 ,97.7 
令和元年,"1,090 ","63,668 ",61.7 ,99.5 ,"1,091 ","64,976 ",62.9 ,99.6 ,"1,088 ","56,698 ",70.1 ,99.4 ,"1,087 ","55,784 ",69.2 ,99.3 
２,652 ,"24,171 ",40.9 ,98.8 ,649 ,"25,449 ",43.3 ,98.3 ,693 ,"21,797 ",42.4 ,99.7 ,687 ,"21,441 ",42.1 ,98.7 
,,,,,,,,,,,,,,,,
２年１月,91 ,"4,579 ",53.0 ,97.8 ,90 ,"4,591 ",53.7 ,96.8 ,93 ,"4,069 ",59.1 ,100.0 ,91 ,"4,138 ",61.4 ,97.8 
２,87 ,"4,281 ",51.8 ,100.0 ,86 ,"4,331 ",53.0 ,98.9 ,87 ,"3,792 ",58.9 ,100.0 ,85 ,"3,747 ",59.6 ,97.7 
３,74 ,"1,981 ",28.8 ,98.7 ,74 ,"2,067 ",30.1 ,98.7 ,93 ,"2,053 ",29.8 ,100.0 ,92 ,"1,937 ",28.2 ,98.9 
４,42 ,524 ,16.0 ,100.0 ,42 ,472 ,14.4 ,100.0 ,47 ,445 ,12.8 ,100.0 ,48 ,453 ,12.8 ,100.0 
５,31 ,373 ,12.7 ,100.0 ,31 ,384 ,13.0 ,100.0 ,31 ,247 ,10.8 ,100.0 ,31 ,254 ,11.1 ,100.0 
６,40 ,950 ,31.3 ,100.0 ,40 ,915 ,30.1 ,100.0 ,30 ,814 ,36.7 ,100.0 ,30 ,810 ,36.5 ,100.0 
７,35 ,"1,492 ",54.2 ,100.0 ,35 ,"1,403 ",50.9 ,100.0 ,36 ,"1,375 ",49.9 ,100.0 ,36 ,"1,340 ",48.6 ,100.0 
８,60 ,"1,393 ",24.5 ,100.0 ,60 ,"1,481 ",26.1 ,100.0 ,93 ,"1,614 ",23.3 ,100.0 ,92 ,"1,553 ",22.8 ,100.0 
９,36 ,"1,844 ",53.9 ,100.0 ,36 ,"1,927 ",56.3 ,100.0 ,32 ,"1,537 ",64.9 ,100.0 ,33 ,"1,463 ",59.9 ,100.0 
10,47 ,"2,409 ",54.2 ,100.0 ,47 ,"3,032 ",68.2 ,100.0 ,31 ,"1,929 ",84.1 ,100.0 ,31 ,"1,780 ",77.6 ,100.0 
11,64 ,"3,006 ",55.1 ,100.0 ,63 ,"3,374 ",63.0 ,98.4 ,60 ,"2,544 ",57.3 ,100.0 ,60 ,"2,509 ",56.5 ,100.0 
12,45 ,"1,339 ",31.3 ,90.0 ,45 ,"1,472 ",34.4 ,90.0 ,60 ,"1,378 ",31.0 ,96.8 ,58 ,"1,457 ",33.9 ,93.5 
資料　秋田県港湾空港課,,,,,,,,,,,,,,,,
注）　就航会社については、グループ会社を含む。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
