８０　秋田港の貨物取扱状況,,,,,,,,,,
,,,,,,,,,,
,,,,,,各年間　単位：トン,,,,
年次,入貨,,,出貨,,,,,,
,総数,移入,輸入,総数,移出,輸出,,,,
平成23年,"7,007,115 ","4,757,902 ","2,249,213 ","2,131,113 ","1,808,393 ","322,720 ",,,,
24,"6,477,239 ","4,018,228 ","2,459,011 ","2,017,176 ","1,694,148 ","323,028 ",,,,
25,"6,664,531 ","4,112,276 ","2,552,255 ","2,033,799 ","1,670,382 ","363,417 ",,,,
26,"5,921,667 ","4,030,677 ","1,890,990 ","1,985,770 ","1,622,202 ","363,568 ",,,,
27,"5,957,395 ","4,043,811 ","1,913,584 ","2,132,675 ","1,678,197 ","454,478 ",,,,
28,"5,736,958 ","4,045,365 ","1,691,593 ","2,075,028 ","1,600,547 ","474,481 ",,,,
29,"5,572,556 ","3,977,869 ","1,594,687 ","2,056,386 ","1,536,132 ","520,254 ",,,,
30,"5,395,925 ","3,941,272 ","1,454,653 ","2,055,676 ","1,530,440 ","525,236 ",,,,
令和元年,"5,048,024 ","3,522,515 ","1,525,509 ","2,026,951 ","1,512,613 ","514,338 ",,,,
２,"4,403,894 ","3,187,033 ","1,216,861 ","1,813,077 ","1,319,798 ","493,279 ",,,,
資料　秋田県港湾空港課「港湾統計年報」,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
