８４　　秋田空港の利用状況  （ Ⅲ ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(3) 秋田－札幌（新千歳）間,,,,,,,,,,,,,,,,各年間
年月,日本航空,,,,,,,,全日本空輸,,,,,,,
,札幌　→　秋田,,,,秋田　→　札幌,,,,札幌　→　秋田,,,,秋田　→　札幌,,,
,運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）"
,,,,,,,,,,,,,,,,
平成28年,697 ,"26,521 ",57.5 ,95.2 ,695 ,"23,412 ",51.2 ,94.9 ,709 ,"25,886 ",49.3 ,96.9 ,713 ,"28,354 ",53.7 ,97.4 
29,705 ,"28,922 ",54.1 ,96.6 ,704 ,"26,011 ",48.7 ,96.4 ,722 ,"28,372 ",53.0 ,98.4 ,719 ,"30,945 ",58.1 ,98.0 
30,705 ,"28,975 ",54.0 ,96.6 ,702 ,"26,177 ",49.0 ,96.2 ,713 ,"28,446 ",53.9 ,97.7 ,716 ,"31,109 ",58.7 ,98.1 
令和元年,720 ,"31,761 ",58.0 ,98.6 ,720 ,"28,653 ",52.3 ,98.6 ,726 ,"30,190 ",56.2 ,99.5 ,725 ,"33,357 ",62.0 ,99.3 
２,366 ,"9,366 ",33.7 ,97.6 ,365 ,"8,828 ",31.8 ,97.3 ,591 ,"11,044 ",25.1 ,99.2 ,593 ,"11,361 ",25.8 ,99.5 
,,,,,,,,,,,,,,,,
２年１月,62 ,"1,855 ",39.4 ,100.0 ,62 ,"1,960 ",41.6 ,100.0 ,62 ,"1,780 ",38.8 ,100.0 ,62 ,"1,957 ",42.7 ,100.0 
２,55 ,"1,781 ",42.6 ,94.8 ,55 ,"1,624 ",38.9 ,94.8 ,57 ,"1,655 ",39.2 ,98.3 ,58 ,"1,702 ",39.7 ,100.0 
３,61 ,868 ,18.7 ,98.4 ,61 ,798 ,17.2 ,98.4 ,62 ,789 ,17.0 ,100.0 ,62 ,898 ,19.6 ,100.0 
４,12 ,145 ,15.9 ,100.0 ,12 ,169 ,18.5 ,100.0 ,59 ,421 ,9.6 ,98.3 ,59 ,451 ,10.3 ,98.3 
５, － , － , － , － , － , － , － , － ,62 ,292 ,6.4 ,100.0 ,62 ,307 ,6.7 ,100.0 
６, － , － , － , － , － , － , － , － ,45 ,726 ,21.8 ,100.0 ,45 ,698 ,21.0 ,100.0 
７,9 ,194 ,28.4 ,100.0 ,9 ,140 ,20.5 ,100.0 ,62 ,"1,251 ",26.7 ,100.0 ,62 ,"1,309 ",28.0 ,100.0 
８,43 ,881 ,27.0 ,100.0 ,43 ,813 ,24.9 ,100.0 ,61 ,"1,022 ",22.2 ,98.4 ,62 ,"1,037 ",21.9 ,100.0 
９,33 ,"1,000 ",39.9 ,100.0 ,33 ,956 ,38.1 ,100.0 ,31 ,868 ,37.8 ,100.0 ,31 ,"1,007 ",43.9 ,100.0 
10,35 ,"1,234 ",46.4 ,100.0 ,35 ,"1,145 ",43.0 ,100.0 ,31 ,912 ,39.8 ,100.0 ,31 ,898 ,39.1 ,100.0 
11,30 ,875 ,38.4 ,100.0 ,30 ,802 ,35.2 ,100.0 ,30 ,739 ,33.3 ,100.0 ,29 ,628 ,29.3 ,96.7 
12,26 ,533 ,27.0 ,83.9 ,25 ,421 ,22.2 ,8.6 ,29 ,589 ,27.4 ,93.5 ,30 ,469 ,21.1 ,96.8 
資料　秋田県港湾空港課,,,,,,,,,,,,,,,,
注）　就航会社については、グループ会社を含む。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
