８４　　秋田空港の利用状況  （ Ⅳ ）,,,,,,,,
,,,,,,,,
(4) 秋田－名古屋（中部）間,,,,,,,,各年間
年月,全日本空輸,,,,,,,
,名古屋（中部）→　秋田,,,,秋田　→　名古屋（中部）,,,
,運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）"
,,,,,,,,
平成28年,741 ,"32,479 ",59.2 ,99.1 ,738 ,"34,180 ",62.5 ,98.7 
29,737 ,"36,363 ",66.5 ,97.5 ,736 ,"37,136 ",68.1 ,97.4 
30,713 ,"36,062 ",68.3 ,97.7 ,712 ,"36,777 ",69.8 ,97.5 
令和元年,723 ,"37,795 ",70.4 ,99.0 ,721 ,"38,473 ",71.8 ,98.8 
２,564 ,"15,176 ",35.0 ,99.1 ,563 ,"15,215 ",35.2 ,98.9 
,,,,,,,,
２年１月,61 ,"2,186 ",48.4 ,98.4 ,61 ,"2,533 ",56.1 ,98.4 
２,57 ,"2,268 ",53.8 ,98.3 ,56 ,"2,285 ",55.1 ,96.6 
３,62 ,"1,411 ",30.8 ,100.0 ,62 ,"1,422 ",31.0 ,100.0 
４,38 ,436 ,15.5 ,100.0 ,38 ,425 ,15.1 ,100.0 
５,31 ,326 ,14.2 ,100.0 ,31 ,323 ,14.1 ,100.0 
６,30 ,779 ,35.1 ,100.0 ,30 ,658 ,29.6 ,100.0 
７,36 ,"1,112 ",41.7 ,100.0 ,36 ,"1,048 ",39.3 ,100.0 
８,62 ,"1,243 ",21.2 ,100.0 ,62 ,"1,231 ",20.9 ,100.0 
９,30 ,932 ,42.0 ,100.0 ,30 ,892 ,40.2 ,100.0 
10,38 ,"1,477 ",50.1 ,100.0 ,38 ,"1,277 ",43.3 ,100.0 
11,60 ,"1,724 ",38.8 ,100.0 ,60 ,"1,888 ",42.5 ,100.0 
12,59 ,"1,282 ",28.2 ,95.2 ,59 ,"1,233 ",27.1 ,95.2 
資料　秋田県港湾空港課,,,,,,,,
注）　就航会社については、グループ会社を含む。,,,,,,,,
,,,,,,,,
