８４　　秋田空港の利用状況  （ Ⅴ ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(5) 秋田－韓国（仁川）間,,,,,,,,各年間,,,,,,,,
年月,大韓航空,,,,,,,,,,,,,,,
,韓国（仁川）　→　秋田,,,,秋田　→　韓国（仁川）,,,,,,,,,,,
,運航回数,利用人員,"搭乗率
（％）","就航率
（％）",運航回数,利用人員,"搭乗率
（％）","就航率
（％）",,,,,,,,
,,,,,,,,,,,,,,,,
平成28年, － , － , － , － , － , － , － , － ,,,,,,,,
29, － , － , － , － , － , － , － , － ,,,,,,,,
30, － , － , － , － , － , － , － , － ,,,,,,,,
令和元年, － , － , － , － , － , － , － , － ,,,,,,,,
２, － , － , － , － , － , － , － , － ,,,,,,,,
,,,,,,,,,,,,,,,,
２年１月, － , － , － , － , － , － , － , － ,,,,,,,,
２, － , － , － , － , － , － , － , － ,,,,,,,,
３, － , － , － , － , － , － , － , － ,,,,,,,,
４, － , － , － , － , － , － , － , － ,,,,,,,,
５, － , － , － , － , － , － , － , － ,,,,,,,,
６, － , － , － , － , － , － , － , － ,,,,,,,,
７, － , － , － , － , － , － , － , － ,,,,,,,,
８, － , － , － , － , － , － , － , － ,,,,,,,,
９, － , － , － , － , － , － , － , － ,,,,,,,,
10, － , － , － , － , － , － , － , － ,,,,,,,,
11, － , － , － , － , － , － , － , － ,,,,,,,,
12, － , － , － , － , － , － , － , － ,,,,,,,,
資料　秋田県港湾空港課,,,,,,,,,,,,,,,,
注）　平成27年12月3日から運休中,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
