８４　　秋田空港の利用状況  （ Ⅵ ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(6) 貨物、郵便（全路線）,,,,,各年間,,,,,,,,,,,
年月,"全路線就航率
（％）",貨物（ｔ）,,郵便（ｔ）,,,,,,,,,,,,
,,積,降,積,降,,,,,,,,,,,
平成28年,98.3 ,604.0 ,777.9 ,67.7 ,359.6 ,,,,,,,,,,,
29,98.0 ,547.9 ,874.0 ,64.8 ,315.5 ,,,,,,,,,,,
30,97.9 ,604.4 ,815.8 ,39.1 ,203.9 ,,,,,,,,,,,
令和元年,99.2 ,657.0 ,694.6 , － , － ,,,,,,,,,,,
２,98.9 ,263.0 ,337.0 , － , － ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
２年１月,98.9 ,40.5 ,51.5 , － , － ,,,,,,,,,,,
２,98.9 ,38.6 ,59.1 , － , － ,,,,,,,,,,,
３,99.0 ,42.5 ,48.1 , － , － ,,,,,,,,,,,
４,99.3 ,17.1 ,22.2 , － , － ,,,,,,,,,,,
５,100.0 ,3.9 ,7.4 , － , － ,,,,,,,,,,,
６,100.0 ,10.3 ,18.6 , － , － ,,,,,,,,,,,
７,99.8 ,15.8 ,21.3 , － , － ,,,,,,,,,,,
８,99.9 ,17.3 ,23.7 , － , － ,,,,,,,,,,,
９,100.0 ,18.4 ,22.0 , － , － ,,,,,,,,,,,
10,100.0 ,17.0 ,19.1 , － , － ,,,,,,,,,,,
11,99.8 ,20.7 ,21.8 , － , － ,,,,,,,,,,,
12,92.3 ,20.9 ,22.1 , － , － ,,,,,,,,,,,
資料　秋田県港湾空港課,,,,,,,,,,,,,,,,
注）　平成30年9月より郵便取扱廃止,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
