１８４　納 税 貯 蓄 組 合 の 普 及 状 況,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
年度,種別組合数・組合員数（年度末現在）,,,,,,補助金交付状況,,,,,,
,総数,,地域組合,,職域組合,,"総　額
(千円)","１組合
当たり
（円）","１組合員
当たり
（円）",,,,
,組合数,組合員数,組合数,組合員数,組合数,組合員数,,,,,,,
平成23年度,210 ,"4,661 ",208 ,"4,641 ",2 ,20 ,"3,273 ","12,592 ",525 ,,,,
24,158 ,"3,352 ",156 ,"3,333 ",2 ,19 , － , － , － ,,,,
25, － , － , － , － , － , － , － , － , － ,,,,
26, － , － , － , － , － , － , － , － , － ,,,,
27, － , － , － , － , － , － , － , － , － ,,,,
28, － , － , － , － , － , － , － , － , － ,,,,
29, － , － , － , － , － , － , － , － , － ,,,,
30, － , － , － , － , － , － , － , － , － ,,,,
令和元年度, － , － , － , － , － , － , － , － , － ,,,,
２, － , － , － , － , － , － , － , － , － ,,,,
資料　秋田市市民税課「税務概要」,,,,,,,,,,,,,
注）　納税貯蓄組合は平成２５年から活動を停止している,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
