,,理容所台帳,,令和４年１０月３１日現在,,,
No.,施設名称,施設所在地,,施設電話,確認年月日,確認番号,
1,Ｃｕｔ　Ｃｒｅｗ．ＡＣＥ,秋田市新屋勝平町１３－２７,,,1/30/57,７９,
2,田口理容所,秋田市河辺三内字田尻下野田８６,,018-883-2394,2/8/57,１５３,
3,コンノ理容所,秋田市河辺和田字上和田１３９,,018-882-3140,6/14/57,１０５,
4,水品理容所,秋田市新屋寿町３－５,,,4/17/59,２３４,
5,工藤理容所,秋田市手形山崎町６－１３,,018-833-8760,11/21/62,５０６,
6,大野理容所,秋田市将軍野東四丁目１２－１６,,,5/22/63,５６１,
7,相沢理容所,秋田市新屋栗田町１４－１１,,,12/3/63,６１１,
8,三浦理容所,秋田市金足黒川１４９－４,,,1/26/65,７４８,
9,理容いしだ,秋田市新屋扇町８４－２９,,018-828-2245,10/5/65,８４６,
10,佐藤理容所,秋田市飯島長野上町１－２１,,,11/4/65,８５５,
11,理容サトウ,秋田市土崎港西二丁目２－１,,,4/23/66,９１１,
12,佐川理容所,秋田市河辺和田字下川原１６－６,,018-882-2816,1/16/67,９４８,
13,理容ミヤザキ,秋田市土崎港中央六丁目８－１３,,018-845-6207,6/29/67,９７２,
14,野村理容所,秋田市泉東町２－６,,018-868-1748,8/9/67,９８２,
15,浜田理容所,秋田市浜田字滝ノ元１３－５,,,9/9/67,９８４,
16,佐野理容室,秋田市山王一丁目９－１４,(ｾｶﾝﾄﾞﾋﾞﾙ内),,12/22/67,１００４,
17,ゴール理容院,秋田市河辺和田字下和田３－３,,018-882-2589,12/26/67,１００６,
18,中村理容所,秋田市土崎港中央七丁目１０－１８,,018-845-4448,2/29/68,１００９,
19,バーバー信田,秋田市将軍野南一丁目６－６,,,4/1/68,１０１３,
20,理容サトウ,秋田市保戸野通町７－４,,,6/9/69,１０９８,
21,理容アサヒ,秋田市新屋元町２２－２,,018-828-2322,7/11/69,１１０６,
22,青木理容所,秋田市手形山崎９－３８,,,10/1/69,１１２２,
23,浜香理容所,秋田市下浜長浜字荒郷屋８－１,,018-879-2310,12/22/69,１１３８,
24,すみれ理容所,秋田市牛島西二丁目１６－６,,018-833-6342,4/10/70,１１４６,
25,理容塚田,秋田市新屋船場町３－３７,,018-862-1324,7/1/70,１１７０,
26,宮田理容所,秋田市将軍野堰越６－１７,,,10/8/70,１１９３,
27,理容クドウ,秋田市将軍野南五丁目３－１０,,,2/27/71,７,
28,バーバーチェリー,秋田市将軍野南一丁目５－１２,,,4/20/71,１３,
29,理容ささき,秋田市新屋朝日町２６－５,,,6/13/70,１１６７,
30,バーバー太陽,秋田市中通四丁目９－３,,,7/10/71,２８,
31,工藤理容所,秋田市雄和新波字本屋敷１８７－２,,018-887-2458,8/6/71,３０,
32,ワカサ理容,秋田市太平山谷字上皿見内４６,,,11/19/71,４５,
33,千田理容所,秋田市牛島西二丁目２６－７,,018-835-2353,12/17/71,４７,
34,佐藤理容所,秋田市新屋勝平町８－２２,,018-863-0553,1/14/72,１,
35,ヘア－サロン モダン,秋田市大町五丁目４－１８,,018-864-5299,2/26/72,１０７７,
36,バーバーロン,秋田市仁井田本町四丁目５－３２,,,5/25/72,１８,
37,佐々木理容室,秋田市広面字谷内佐渡１０２－３,,018-833-5382,5/31/72,１９,
38,やなぎだ理容所,秋田市手形田中２－５,,018-833-5238,6/9/72,２０,
39,理容さくら,秋田市飯島緑丘町１４－１,,018-846-0428,6/14/72,２２,
40,長谷川理容所,秋田市寺内神屋敷１４－１４,,,7/5/72,２５,
41,理容千田,秋田市寺内堂ノ沢一丁目８－１４,,,10/2/72,３９,
42,理容ハセベ,秋田市河辺神内字大田面１７－３,,018-882-3206,12/1/72,４８,
