８６　自　動　車　保　有　台　数　,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,各年３月末現在　単位：台,,,,
車種,,,平成28年,,,29,,,30,,,31,,,令和２年,,,３,,,,,,
,,,自家用,営業用,計,自家用,営業用,計,自家用,営業用,計,自家用,営業用,計,自家用,営業用,計,自家用,営業用,計,,,,
貨物用,普通車,,"4,250 ","2,367 ","6,617 ","4,251 ","2,437 ","6,688 ","4,107 ","2,428 ","6,535 ","4,135 ","2,408 ","6,543 ","4,082 ","2,446 ","6,528 ","3,978 ","2,484 ","6,462 ",,,,
,小型車,,"9,563 ",125 ,"9,688 ","9,556 ",121 ,"9,677 ","9,461 ",123 ,"9,584 ","9,507 ",119 ,"9,626 ","9,295 ",126 ,"9,421 ","9,184 ",130 ,"9,314 ",,,,
,被けん引車,,44 ,359 ,403 ,40 ,360 ,400 ,39 ,360 ,399 ,29 ,371 ,400 ,28 ,346 ,374 ,30 ,336 ,366 ,,,,
,計,,"13,857 ","2,851 ","16,708 ","13,847 ","2,918 ","16,765 ","13,607 ","2,911 ","16,518 ","13,671 ","2,898 ","16,569 ","13,405 ","2,918 ","16,323 ","13,192 ","2,950 ","16,142 ",,,,
乗合用,普通車,,50 ,229 ,279 ,51 ,237 ,288 ,51 ,237 ,288 ,50 ,227 ,277 ,45 ,237 ,282 ,47 ,213 ,260 ,,,,
,小型車,,262 ,38 ,300 ,270 ,38 ,308 ,266 ,39 ,305 ,260 ,43 ,303 ,252 ,41 ,293 ,249 ,39 ,288 ,,,,
,計,,312 ,267 ,579 ,321 ,275 ,596 ,317 ,276 ,593 ,310 ,270 ,580 ,297 ,278 ,575 ,296 ,252 ,548 ,,,,
乗用,普通車,,"45,259 ",102 ,"45,361 ","46,700 ",125 ,"46,825 ","48,109 ",127 ,"48,236 ","48,859 ",131 ,"48,990 ","49,791 ",140 ,"49,931 ","50,838 ",140 ,"50,978 ",,,,
,小型車,,"68,199 ",550 ,"68,749 ","67,018 ",507 ,"67,525 ","65,817 ",468 ,"66,285 ","64,360 ",452 ,"64,812 ","62,796 ",439 ,"63,235 ","61,132 ",408 ,"61,540 ",,,,
,計,,"113,458 ",652 ,"114,110 ","113,718 ",632 ,"114,350 ","113,926 ",595 ,"114,521 ","113,219 ",583 ,"113,802 ","112,587 ",579 ,"113,166 ","111,970 ",548 ,"112,518 ",,,,
特殊用,特殊車,,"2,742 ",913 ,"3,655 ","2,744 ",941 ,"3,685 ","2,781 ",984 ,"3,765 ","2,808 ",974 ,"3,782 ","2,795 ",985 ,"3,780 ","2,796 ",986 ,"3,782 ",,,,
,大型特殊車,,"1,439 ",7 ,"1,446 ","1,456 ",6 ,"1,462 ","1,475 ",6 ,"1,481 ","1,488 ",6 ,"1,494 ","1,478 ",6 ,"1,484 ","1,504 ",5 ,"1,509 ",,,,
,計,,"4,181 ",920 ,"5,101 ","4,200 ",947 ,"5,147 ","4,256 ",990 ,"5,246 ","4,296 ",980 ,"5,276 ","4,273 ",991 ,"5,264 ","4,300 ",991 ,"5,291 ",,,,
小型二輪車,,,"3,509 ",,"3,509 ","3,495 ",,"3,495 ","3,483 ",,"3,483 ","3,485 ",,"3,485 ","3,493 ",,"3,493 ","3,559 ",,"3,559 ",,,,
合計,,,"135,317 ","4,690 ","140,007 ","135,581 ","4,772 ","140,353 ","135,589 ","4,772 ","140,361 ","134,981 ","4,731 ","139,712 ","134,055 ","4,766 ","138,821 ","133,317 ","4,741 ","138,058 ",,,,
軽自動車,貨物用,四輪,"17,691 ",574 ,"18,265 ",,,"18,034 ",,,"17,697 ",,,"17,625 ",,,"17,480 ",,,"17,419 ",,,,
,,三輪,,,1 ,,,1 ,,, 1 ,,, 1 ,,,1 ,,,1 ,,,,
,乗用,,,,"67,399 ",,,"68,561 ",,,"69,598 ",,,"70,273 ",,,"70,886 ",,,"71,586 ",,,,
,特殊用途用,,,,466 ,,,444 ,,,422 ,,,415 ,,,416 ,,,405 ,,,,
,不明,,,,,,,3 ,,,3 ,,,3 ,,,4 ,,,5 ,,,,
,軽二輪車,,,,"3,451 ",,,"3,409 ",,,"3,425 ",,,"3,419 ",,,･･･,,,･･･,,,,
,計,,"17,691 ",574 ,"89,582 ",,,"90,452 ",,,"91,146 ",,,"91,736 ",,," 88,787 ",,," 89,416 ",,,,
総計,,,"153,008 ","5,264 ","229,589 ","135,581 ","4,772 ","230,805 ","135,589 ","4,772 ","231,507 ","134,981 ","4,731 ","231,448 ","134,055 ","4,766 ","227,608 ","133,317 ","4,741 ","227,474 ",,,,
資料　国土交通省東北運輸局秋田運輸支局,,,,,,,,,,,,,,,,,,,,,,,,
注）　令和元年７月に軽二輪車の集計を終了,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
