１８７　　　市　　　有　　　財　　　産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) 行政財産,,,,,,,,,,,各年度末現在　単位：㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,,合計,本庁舎,その他の行政機関,,,公共用財産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,計,消防施設,その他の施設,計,学校,公営住宅,公園,その他の施設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土地（地積）,平成23年度,"10,788,741.83 ","27,303.96 ","667,999.33 ","32,081.43 ","635,917.90 ","10,093,438.54 ","1,724,646.39 ","213,356.44 ","3,778,636.62 ","4,376,799.09 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,"10,735,998.38 ","27,303.96 ","668,045.74 ","32,144.24 ","635,901.50 ","10,040,648.68 ","1,657,148.42 ","213,356.44 ","3,778,861.04 ","4,391,282.78 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,"10,707,214.00 ","27,305.83 ","669,491.05 ","35,542.91 ","633,948.14 ","10,010,417.12 ","1,645,645.11 ","213,356.44 ","3,779,868.03 ","4,371,547.54 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,"10,788,585.40 ","27,305.83 ","749,005.05 ","35,716.06 ","713,288.99 ","10,012,274.52 ","1,624,405.40 ","213,356.44 ","3,796,605.35 ","4,377,907.33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,"10,833,558.30 ","27,305.83 ","717,771.57 ","35,722.27 ","682,049.30 ","10,088,480.90 ","1,604,684.33 ","213,356.44 ","3,809,236.97 ","4,461,203.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,"10,852,022.24 ","27,305.83 ","713,793.75 ","37,157.78 ","676,635.97 ","10,110,922.66 ","1,491,024.33 ","213,355.33 ","3,826,059.37 ","4,580,483.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,"10,737,230.53 ","27,305.83 ","714,551.13 ","37,731.99 ","676,819.14 ","9,995,373.57 ","1,490,492.33 ","213,515.48 ","3,814,789.36 ","4,476,576.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,"10,743,675.42 ","27,305.83 ","713,329.08 ","37,733.24 ","675,595.84 ","10,003,040.51 ","1,490,747.88 ","213,900.62 ","3,826,381.68 ","4,472,010.33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,令和元年度,"10,721,872.04 ","27,305.83 ","708,764.90 ","36,720.67 ","672,044.23 ","9,985,801.31 ","1,489,377.93 ","212,728.39 ","3,830,388.96 ","4,453,306.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,２,"10,817,815.99 ","27,305.83 ","707,296.47 ","36,940.60 ","670,355.87 ","10,083,213.69 ","1,527,442.19 ","212,728.39 ","3,862,341.52 ","4,480,701.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
