１８１　市  税  の  税  目　別　収　入　状　況,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,単位：千円、％,,,,,,,,,,,,,,,,,,,,
税　　目　　別,,,令和元年度,,,２,,,,,,,,,,,,,,,,,,,,,
,,,調定額,収入済額,収入率,調定額,収入済額,収入率,,,,,,,,,,,,,,,,,,,
,,,Ａ,Ｂ,Ｂ／Ａ,Ａ,Ｂ,Ｂ／Ａ,,,,,,,,,,,,,,,,,,,
現年課税分,市民税,個人,"15,391,666 ","15,281,541 ",99.3,"15,574,697 ","15,483,998 ",99.4,,,,,,,,,,,,,,,,,,,
,,法人,"4,395,204 ","4,386,046 ",99.8,"3,480,681 ","3,408,654 ",97.9,,,,,,,,,,,,,,,,,,,
,,計,"19,786,870 ","19,667,587 ",99.4,"19,055,378 ","18,892,652 ",99.1,,,,,,,,,,,,,,,,,,,
,固定資産税    ,固定資産税,"19,305,021 ","19,068,978 ",98.8,"19,262,480 ","18,935,522 ",98.3,,,,,,,,,,,,,,,,,,,
,,交付金,"214,986 ","214,986 ",100.0,"206,097 ","206,097 ",100.0,,,,,,,,,,,,,,,,,,,
,,計,"19,520,007 ","19,283,964 ",98.8,"19,468,577 ","19,141,619 ",98.3,,,,,,,,,,,,,,,,,,,
,軽自動車税,,"754,433 ","746,496 ",98.9,"802,669 ","796,869 ",99.3,,,,,,,,,,,,,,,,,,,
,市たばこ税,,"2,036,560 ","2,036,560 ",100.0,"1,946,669 ","1,946,669 ",100.0,,,,,,,,,,,,,,,,,,,
,鉱産税,,"7,426 ","7,426 ",100.0,"6,684 ","6,684 ",100.0,,,,,,,,,,,,,,,,,,,
,"特別土地
保有税",, - , - , - , - , - ,-,,,,,,,,,,,,,,,,,,,
,入湯税,,"32,834 ","32,834 ",100.0,"20,639 ","20,639 ",100.0,,,,,,,,,,,,,,,,,,,
,事業所税,,"1,522,365 ","1,507,780 ",99.0,"1,532,124 ","1,509,546 ",98.5,,,,,,,,,,,,,,,,,,,
,現年課税分計,,"43,660,495 ","43,282,647 ",99.1,"42,832,740 ","42,314,678 ",98.8,,,,,,,,,,,,,,,,,,,
滞納繰越分計,,,"1,767,634 ","422,360 ",23.9,"1,615,234 ","347,056 ",21.5,,,,,,,,,,,,,,,,,,,
市税合計,,,"45,428,129 ","43,705,007 ",96.2,"44,447,974 ","42,661,734 ",96.0,,,,,,,,,,,,,,,,,,,
資料　秋田市市民税課「税務概要」,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
