９　都　道　府　県　別　転　入　・　転　出　人　口 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,令和３年間　単位：人 ,
都　道　府　県,転　　　入　　　人　　　口,,,,,,転　　出　　人　　口,,,,,,差　　　　引　　　　計,,,,,,
,総　　数,,男,,女,,総　　数,,男,,女,,総　　数,,男,,女,,
総　　　　　　　数, (248) ,"8,428 ", (139) ,"4,719 ", (109) ,"3,709 ", (241) ,"8,401 ", (151) ,"4,698 ", (90) ,"3,703 ", (7) ,27, (△12) ,21, (19) ,6,
北　　　海　　　道, (5) ,289 ,,158 , (5) ,131 , (4) ,263 , (2) ,146 , (2) ,117 , (1) ,26, (△2) ,12, (3) ,14,
青　　　　　　　森, (1) ,409 , (1) ,247 ,,162 , (2) ,354 ,,225 , (2) ,129 , (△1) ,55, (1) ,22, (△2) ,33,
岩　　　　　　　手, (8) ,430 , (3) ,261 , (5) ,169 , (3) ,375 , (1) ,224 , (2) ,151 , (5) ,55, (2) ,37, (3) ,18,
宮　　　　　　　城, (6) ,871 , (5) ,529 , (1) ,342 , (4) ,"1,095 ", (2) ,611 , (2) ,484 , (2) ,△ 224, (3) ,△ 82, (△1) ,△ 142,
秋　　　　　　　田, (10) ,"3,056 ", (5) ,"1,555 ", (5) ,"1,501 ", (7) ,"2,177 ", (3) ,"1,202 ", (4) ,975 , (3) ,879, (2) ,353, (1) ,526,
山　　　　　　　形, (3) ,218 , (1) ,130 , (2) ,88 , (9) ,227 , (6) ,135 , (3) ,92 , (△6) ,△ 9, (△5) ,△ 5, (△1) ,△ 4,
福　　　　　　　島, (1) ,197 , (1) ,128 ,,69 , (1) ,195 , (1) ,124 ,,71 ,   ,2,   ,4,   ,△ 2,
茨　　　　　　　城,   ,91 ,,60 ,,31 , (2) ,125 , (2) ,73 ,,52 , (△2) ,△ 34, (△2) ,△ 13,   ,△ 21,
栃　　　　　　　木, (6) ,77 , (5) ,46 , (1) ,31 , (1) ,88 , (1) ,51 ,,37 , (5) ,△ 11, (4) ,△ 5, (1) ,△ 6,
群　　　　　　　馬, (8) ,53 , (2) ,29 , (6) ,24 , (4) ,67 , (2) ,37 , (2) ,30 , (4) ,△ 14,   ,△ 8, (4) ,△ 6,
埼　　　　　　　玉, (4) ,276 , (4) ,165 ,,111 , (6) ,304 , (4) ,159 , (2) ,145 , (△2) ,△ 28,   ,6, (△2) ,△ 34,
千　　　　　　　葉, (18) ,248 , (7) ,139 , (11) ,109 , (13) ,346 , (6) ,172 , (7) ,174 , (5) ,△ 98, (1) ,△ 33, (4) ,△ 65,
東　　　　　　　京, (21) ,758 , (13) ,416 , (8) ,342 , (18) ,"1,053 ", (12) ,568 , (6) ,485 , (3) ,△ 295, (1) ,△ 152, (2) ,△ 143,
神　　　奈　　　川, (9) ,332 , (7) ,189 , (2) ,143 , (7) ,506 , (6) ,273 , (1) ,233 , (2) ,△ 174, (1) ,△ 84, (1) ,△ 90,
新　　　　　　　潟,   ,131 ,,77 ,,54 ,   ,147 ,,81 ,,66 ,   ,△ 16,   ,△ 4,   ,△ 12,
"北  陸  地  方
（福井・石川・富山）",   ,61 ,,37 ,,24 , (2) ,65 , (1) ,43 , (1) ,22 , (△2) ,△ 4, (△1) ,△ 6, (△1) ,2,
"甲  信  地  方
（山梨・長野）", (4) ,73 , (3) ,45 , (1) ,28 , (2) ,48 , (2) ,28 ,,20 , (2) ,25, (1) ,17, (1) ,8,
"東  海  地  方
（静岡・愛知・岐阜・三重）", (14) ,239 , (10) ,137 , (4) ,102 , (10) ,255 , (7) ,154 , (3) ,101 , (4) ,△ 16, (3) ,△ 17, (1) ,1,
"近  畿  地  方
（滋賀･大阪･京都･奈良･和歌山･兵庫）", (16) ,227 , (8) ,141 , (8) ,86 , (9) ,269 , (7) ,146 , (2) ,123 , (7) ,△ 42, (1) ,△ 5, (6) ,△ 37,
"中  国  地  方
（鳥取・島根・岡山・広島・山口）", (3) ,71 , (1) ,34 , (2) ,37 , (5) ,50 , (3) ,30 , (2) ,20 , (△2) ,21, (△2) ,4,   ,17,
"四  国  地  方
（香川・徳島・高知・愛媛）", (1) ,25 ,,13 , (1) ,12 ,   ,46 ,,25 ,,21 , (1) ,△ 21,   ,△ 12, (1) ,△ 9,
"九  州  地  方
（福岡･佐賀･長崎･熊本･大分･宮崎･鹿児島･沖縄）", (4) ,110 , (2) ,75 , (2) ,35 , (3) ,121 , (1) ,71 , (2) ,50 , (1) ,△ 11, (1) ,4,   ,△ 15,
国　　　　　　　外, (96) ,158 , (55) ,90 , (41) ,68 , (62) ,140 , (33) ,66 , (29) ,74 , (34) ,18, (22) ,24, (12) ,△ 6,
従前の住所なし, (10) ,28 , (6) ,18 , (4) ,10 , (67) ,85 , (49) ,54 , (18) ,31 , (△57) ,△ 57, (△43) ,△ 36, (△14) ,△ 21,
秋田市市民課の資料に基づき、秋田市情報統計課が集計したものである。,,,,,,,,,,,,,,,,,,,
注)　 １　（　）内は外国人で再掲,,,,,,,,,,,,,,,,,,,
　　　２　秋田県の転入・転出数は、秋田市以外の県内市町村の転入・転出数を示す。,,,,,,,,,,,,,,,,,,,
