１４４　労　働　組　合　と　組　合　員　の　状　況 （ Ⅱ ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) 産業別,,,,,,,,,,,,,,,,,,,,,,,,,,各年６月３０日現在,,,,,,,,,,,,,,,,,,,,,,,
年次,総数,,林業,,農業、林業,,鉱業,,"鉱業、石採業、
砂利採取業",,建設業,,製造業,,電気･ガス･水道業,,"電気･ｶﾞｽ･熱供給
･水道業",,運輸･通信業,,情報通信業,,運輸業,,運輸業、郵便業,,,,,,,,,,,,,,,,,,,,,,,,
,組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",組合数,"組合員数
(人)",,,,,,,,,,,,,,,,,,,,,,,
平成24年,294 ,"34,643 ", － , － , 5 , 209 , － , － , 2 , 70 ,9 ,"6,473 ",32 ,"2,511 ", － , － ,6 ,"1,037 ", － , － ,15 ,"1,323 ", － , － , 67 ," 4,177 ",,,,,,,,,,,,,,,,,,,,,,,
25,287 ,"35,057 ", － , － , 5 , 196 , － , － , 1 , 61 ,9 ,"6,243 ",32 ,"2,524 ", － , － ,6 ,928 , － , － ,15 ,"1,201 ", － , － , 66 ," 4,165 ",,,,,,,,,,,,,,,,,,,,,,,
26,280 ,"34,635 ", － , － , 5 , 204 , － , － , 1 , 61 ,8 ,"6,127 ",31 ,"2,440 ", － , － ,6 ,898 , － , － ,15 ,"1,124 ", － , － , 65 ," 4,140 ",,,,,,,,,,,,,,,,,,,,,,,
27,274 ,"33,849 ", － , － , 5 , 201 , － , － , 1 , 61 ,8 ,"6,060 ",30 ,"2,390 ", － , － ,6 ,896 , － , － ,15 ,"1,119 ", － , － , 64 ," 4,102 ",,,,,,,,,,,,,,,,,,,,,,,
28,273 ,"33,791 ", － , － , 5 , 196 , － , － , 1 , 61 ,8 ,"5,990 ",29 ,"2,350 ", － , － ,6 ,886 , － , － ,15 ,"1,089 ", － , － , 64 ," 4,236 ",,,,,,,,,,,,,,,,,,,,,,,
29,268 ,"33,058 ", － , － , 5 , 184 , － , － , 1 , 56 ,8 ,"5,950 ",29 ,"2,347 ", － , － ,6 ,858 , － , － ,15 ,"1,032 ", － , － , 61 ," 4,152 ",,,,,,,,,,,,,,,,,,,,,,,
30,260 ,"32,330 ", － , － , 5 , 187 , － , － , 1 , 56 ,8 ,"5,864 ",29 ,"2,325 ", － , － ,6 ,843 , － , － ,15 ,"1,050 ", － , － , 54 ,"3,988 ",,,,,,,,,,,,,,,,,,,,,,,
令和元年,259 ,"32,138 ", － , － ,5 ,182 , － , － ,1 ,56 ,8 ,"5,856 ",29 ,"2,366 ", － , － ,6 ,847 , － , － ,15 ,999 , － , － ,55 ,"3,972 ",,,,,,,,,,,,,,,,,,,,,,,
２,250 ,"30,666 ", － , － ,5 ,184 , － , － ,1 ,49 ,8 ,"5,849 ",29 ,"2,348 ", － , － ,5 ,839 , － , － ,14 ,920 , － , － ,46 ,"2,983 ",,,,,,,,,,,,,,,,,,,,,,,
