営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
グランマート手形店,秋田市手形休下町２－１,018-825-1021,株式会社　タカヤナギ,継続,51,飲食店営業,仕出し・弁当,1/28/16,2/1/16,1/31/23
グランマート手形店,秋田市手形休下町２－１,018-825-1021,株式会社　タカヤナギ,継続,48,魚介類販売業,一般,1/28/16,2/1/16,1/31/23
グランマート手形店,秋田市手形休下町２－１,018-825-1021,株式会社　タカヤナギ,継続,49,食肉販売業,一般,1/28/16,2/1/16,1/31/23
ベルナール,秋田市手形休下町２－１,018-825-1021,株式会社　タカヤナギ,継続,53,菓子製造業,一般,1/28/16,2/1/16,1/31/23
一冨士フードサービス株式会社県立大学秋田キャンパス店,秋田市下新城中野字街道端西２４１－４３８,,一冨士フードサービス株式会社,継続,568,飲食店営業,一般,5/25/16,6/1/16,5/31/23
マクドナルド　秋田仁井田店,秋田市仁井田緑町５－２０,018-839-9053,ヒロフーズ株式会社,継続,766,飲食店営業,一般,6/22/16,7/1/16,6/30/23
株式会社　リベール,秋田市新屋天秤野１２５－２６,018-824-4551,株式会社　リベール,継続,819,そうざい製造業,一般,6/23/16,7/1/16,6/30/23
株式会社　リベール,秋田市新屋天秤野１２５－２６,018-824-4551,株式会社　リベール,継続,818,飲食店営業,仕出し・弁当,6/23/16,7/1/16,6/30/23
株式会社　田口フードサービス　食彩工房,秋田市新屋大川町１０－８,018-828-7447,株式会社　田口フードサービス,継続,817,食肉処理業,一般,6/23/16,7/1/16,6/30/23
株式会社　田口フードサービス　食彩工房,秋田市新屋大川町１０－８,018-828-7447,株式会社　田口フードサービス,継続,816,そうざい製造業,一般,6/23/16,7/1/16,6/30/23
ローソン秋田土崎港北七丁目店,秋田市土崎港北七丁目２－４０,018-845-4386,有限会社　あいわ商店,新規,872,飲食店営業,その他,6/27/16,6/27/16,5/31/23
スシロー秋田茨島店,秋田市茨島四丁目３－２６,018-896-1180,株式会社　あきんどスシロー,新規,1127,飲食店営業,一般,7/20/16,7/20/16,4/30/23
