地域コード,地域,地区,年次,総数(戸),総数(パーセント),例外規定(戸),例外規定(パーセント),0.3ha以上0.5ha未満(戸),0.3ha以上0.5ha未満(パーセント),0.5ha以上1.0ha未満(戸),0.5ha以上1.0ha未満(パーセント),1.0ha以上1.5ha未満(戸),1.0ha以上1.5ha未満(パーセント),1.5ha以上2.0ha未満(戸),1.5ha以上2.0ha未満(パーセント),2.0ha以上3.0ha未満(戸),2.0ha以上3.0ha未満(パーセント),3.0ha以上(戸),3.0ha以上(パーセント)
00000,全国,全域,2015(平成27),"1,329,591",100.0,23283 ,1.8,255297 ,19.2,434536 ,32.7,214615 ,16.1,116596 ,8.8,"114,622",8.6,"170,642",12.8
02000∼07000,東北,全域,2015(平成27),"240,088",100.0,2859 ,1.2,28954 ,12.1,59613 ,24.8,40327 ,16.8,27985 ,11.7,"32,670",13.6,"47,680",19.9
05000,秋田県,県全域,2015(平成27),"37,810",100.0,182 ,0.5,3210 ,8.5,7649 ,20.2,6292 ,16.6,4796 ,12.7,"6,011",15.9,"9,670",25.6
05212,大仙市,市全域,1975(昭和50),"13,937",100.0,8 ,0.1,1541 ,11.1,2788 ,20.0,2432 ,17.4,2093 ,15.0,"2,661",19.1,"1,002",7.2
05212,大仙市,市全域,1980(昭和55),"13,604",100.0,11 ,0.1,1427 ,10.5,2667 ,19.6,2267 ,16.7,1928 ,14.2,"2,675",19.7,"1,231",9.0
05212,大仙市,市全域,1985(昭和60),"13,038",100.0,9 ,0.1,1299 ,10.0,2548 ,19.5,2064 ,15.8,1787 ,13.7,"2,592",19.9,"1,404",10.8
05212,大仙市,市全域,1990(平成2),"12,242",100.0,16 ,0.1,1156 ,9.4,2413 ,19.7,1862 ,15.2,1656 ,13.5,"2,353",19.2,"1,531",12.5
05212,大仙市,市全域,1995(平成7),"11,420",100.0,11 ,0.1,1099 ,9.6,2210 ,19.4,1725 ,15.1,1474 ,12.9,"2,063",18.1,"1,632",14.3
05212,大仙市,市全域,2000(平成12),"9,524",100.0,2 ,0.0,959 ,10.1,2014 ,21.1,1511 ,15.9,1404 ,14.7,"1,907",20.0,"1,727",18.1
05212,大仙市,市全域,2005(平成17),"8,469",100.0,4 ,0.0,779 ,9.2,1705 ,20.1,1426 ,16.8,1225 ,14.5,"1,659",19.6,"1,671",19.7
05212,大仙市,市全域,2010(平成22),"6,333",100.0,23 ,0.4,590 ,9.3,1313 ,20.7,1004 ,15.9,827 ,13.1,"1,117",17.6,"1,459",23.0
05212,大仙市,市全域,2015(平成27),"5,118",100.0,14 ,0.3,349 ,6.8,926 ,18.1,788 ,15.4,691 ,13.5,927,18.1,"1,423",27.8
05212,大仙市,大曲地域,1975(昭和50),"3,443",24.7,2 ,0.1,442 ,3.2,762 ,5.5,617 ,4.4,542 ,3.9,574,4.1,109,0.8
05212,大仙市,大曲地域,1980(昭和55),"3,366",24.7,3 ,0.1,410 ,3.0,733 ,5.4,610 ,4.5,493 ,3.6,579,4.3,134,1.0
