市町村コード,都道府県名,市町村名,地域,地区,年次,農家戸数(戸),農家戸数構成比(%),農家人口(人),農家人口構成比(%),農業就業人口(人),農業就業人口構成比(%)
5212,秋田県,大仙市,市全域,市全域,1975(昭和50),"13,937",100.0,"66,201",100.0,"22,507",100.0
5212,秋田県,大仙市,市全域,市全域,1980(昭和55),"13,604",100.0,"64,766",100.0,"19,784",100.0
5212,秋田県,大仙市,市全域,市全域,1985(昭和60),"13,038",100.0,"62,282",100.0,"18,023",100.0
5212,秋田県,大仙市,市全域,市全域,1990(平成2),"12,242",100.0,"58,405",100.0,"15,865",100.0
5212,秋田県,大仙市,市全域,市全域,1995(平成7),"11,420",100.0,"53,387",100.0,"13,719",100.0
5212,秋田県,大仙市,市全域,市全域,2000(平成12),"9,524",100.0,"44,392",100.0,"12,780",100.0
5212,秋田県,大仙市,市全域,市全域,2005(平成17),"8,469",100.0,"37,790",100.0,"12,193",100.0
5212,秋田県,大仙市,市全域,市全域,2010(平成22),"4,697",100.0,"20,214",100.0,"7,278",100.0
5212,秋田県,大仙市,市全域,市全域,2015(平成27),"5,118",100.0,"20,558",100.0,"7,233",100.0
5212,秋田県,大仙市,大曲,大曲全域,1975(昭和50),"3,443",24.7,"16,380",24.7,"5,193",23.0
5212,秋田県,大仙市,大曲,大曲全域,1980(昭和55),"3,366",24.7,"16,099",24.8,"4,428",22.3
5212,秋田県,大仙市,大曲,大曲全域,1985(昭和60),"3,247",24.9,"15,500",24.8,"3,976",22.0
5212,秋田県,大仙市,大曲,大曲全域,1990(平成2),"3,105",25.4,"14,538",24.9,"3,504",22.1
5212,秋田県,大仙市,大曲,大曲全域,1995(平成7),"2,952",25.9,"13,422",25.1,"2,947",21.5
5212,秋田県,大仙市,大曲,大曲全域,2000(平成12),"2,420",25.4,"10,973",24.7,"2,851",22.3
5212,秋田県,大仙市,大曲,大曲全域,2005(平成17),"2,213",26.2,"9,523",25.2,"2,878",23.6
5212,秋田県,大仙市,大曲,大曲全域,2010(平成22),"1,636",25.8,"6,782",25.1,"2,182",23.1
5212,秋田県,大仙市,大曲,大曲全域,2015(平成27),"1,286",25.1,"4,970",24.2,"1,721",23.8
5212,秋田県,大仙市,大曲,大曲,1975(昭和50),617,4.4,"2,962",4.5,793,3.5
5212,秋田県,大仙市,大曲,大曲,1980(昭和55),593,4.4,"2,863",4.4,784,4.0
5212,秋田県,大仙市,大曲,大曲,1985(昭和60),557,4.3,"2,673",4.3,639,3.5
5212,秋田県,大仙市,大曲,大曲,1990(平成2),527,4.3,"2,499",4.3,495,3.1
5212,秋田県,大仙市,大曲,大曲,1995(平成7),496,4.3,"2,276",4.3,381,2.8
5212,秋田県,大仙市,大曲,大曲,2000(平成12),373,3.9,"1,714",3.9,395,3.1
5212,秋田県,大仙市,大曲,大曲,2005(平成17),346,4.1,"1,472",3.9,428,3.5
5212,秋田県,大仙市,大曲,大曲,2010(平成22),211,4.5,836,4.1,282,3.9
5212,秋田県,大仙市,大曲,大曲,2015(平成27),173,3.4,643,3.1,227,3.1
5212,秋田県,大仙市,大曲,花舘,1975(昭和50),447,3.2,"2,095",3.2,655,2.9
5212,秋田県,大仙市,大曲,花舘,1980(昭和55),424,3.1,"2,016",3.1,544,2.7
5212,秋田県,大仙市,大曲,花舘,1985(昭和60),409,3.1,"1,938",3.1,510,2.8
5212,秋田県,大仙市,大曲,花舘,1990(平成2),386,3.2,"1,708",2.9,511,3.2
5212,秋田県,大仙市,大曲,花舘,1995(平成7),357,3.1,"1,580",3.0,421,3.1
5212,秋田県,大仙市,大曲,花舘,2000(平成12),294,3.1,"1,332",3.0,384,3.0
